Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Market Capitalization,51,67,65,43,62,60,53,43,43,44,41,Upgrade
Market Cap Growth,-,1.79%,52.28%,-30.08%,2.48%,14.09%,23.35%,-0.21%,-2.22%,7.18%,-6.21%,Upgrade
Enterprise Value,38,6,-35,-8,46,57,90,87,61,43,60,Upgrade
PE Ratio,9.34,13.68,12.21,11.17,12.97,16.82,14.41,12.63,12.74,15.93,13.03,Upgrade
PS Ratio,2.40,3.25,3.18,2.50,3.60,3.56,3.08,2.69,2.86,3.36,3.03,Upgrade
PB Ratio,1.05,1.27,1.24,0.85,1.22,1.28,1.14,0.98,0.99,1.02,0.97,Upgrade
P/FCF Ratio,3.72,4.60,10.96,-55.85,28.15,4.77,19.46,9.62,-15.09,-8.69,4.27,Upgrade
P/OCF Ratio,3.38,3.91,7.86,215.03,12.83,4.58,15.59,6.05,-59.70,-18.23,3.56,Upgrade
EV/Sales Ratio,1.80,0.30,-1.71,-0.46,2.68,3.37,5.29,5.48,4.05,3.34,4.43,Upgrade
EV/EBITDA Ratio,5.10,0.91,-4.71,-1.46,6.98,8.99,15.27,15.87,11.22,9.91,11.96,Upgrade
EV/EBIT Ratio,5.73,1.02,-5.17,-1.66,7.60,9.76,16.69,17.26,12.07,10.65,12.51,Upgrade
EV/FCF Ratio,2.78,0.42,-5.89,10.37,20.96,4.51,33.40,19.56,-21.38,-8.63,6.23,Upgrade
Debt / Equity Ratio,0.15,0.07,0.07,0.08,0.05,0.27,1.07,1.12,0.90,0.31,0.53,Upgrade
Debt / EBITDA Ratio,1.01,0.52,0.49,0.71,0.36,2.00,8.39,8.93,7.22,3.04,4.51,Upgrade
Debt / FCF Ratio,0.55,0.24,0.62,-5.04,1.09,1.01,18.35,11.01,-13.76,-2.65,2.35,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),11.40%,9.20%,10.30%,7.70%,9.70%,7.70%,8.10%,7.80%,7.80%,6.50%,7.00%,Upgrade
Return on Assets (ROA),1.00%,0.80%,1.00%,0.80%,1.10%,0.90%,0.90%,0.90%,0.90%,0.90%,1.10%,Upgrade
Return on Capital (ROIC),1.20%,1.20%,1.50%,1.10%,1.40%,1.40%,1.20%,1.30%,1.30%,1.30%,1.60%,Upgrade
Earnings Yield,11.22%,7.31%,8.19%,8.95%,7.71%,5.94%,6.94%,7.92%,7.85%,6.28%,7.67%,Upgrade
FCF Yield,26.86%,21.73%,9.13%,-1.79%,3.55%,20.97%,5.14%,10.39%,-6.63%,-11.51%,23.43%,Upgrade
Dividend Yield,2.94%,2.03%,1.69%,2.58%,1.68%,1.53%,1.34%,1.49%,1.39%,1.54%,1.38%,Upgrade
Payout Ratio,24.00%,26.70%,19.90%,27.80%,20.90%,24.20%,17.90%,17.80%,16.50%,22.60%,17.90%,Upgrade
Buyback Yield / Dilution,7.18%,-0.96%,3.12%,6.30%,3.07%,2.24%,1.83%,6.00%,5.48%,4.84%,20.22%,Upgrade
Total Shareholder Return,10.11%,1.07%,4.82%,8.88%,4.75%,3.76%,3.16%,7.49%,6.87%,6.37%,21.60%,Upgrade
