Year,Current,2022,2021
Market Capitalization,7,5,17
Market Cap Growth,-,-68.78%,-
Enterprise Value,-2,-4,1
PE Ratio,-2.10,-2.10,-15.75
PS Ratio,45.03,33.31,7.61
PB Ratio,0.51,0.38,1.02
P/FCF Ratio,-0.80,-0.80,-42.77
P/OCF Ratio,-0.81,-0.81,-45.00
EV/Sales Ratio,-23.49,-23.49,0.41
EV/EBITDA Ratio,1.51,1.51,-1.21
EV/EBIT Ratio,1.48,1.48,-1.12
EV/FCF Ratio,0.57,0.57,-2.33
Debt / Equity Ratio,0.01,0.01,-
Debt / EBITDA Ratio,-0.06,-0.06,-
Debt / FCF Ratio,-0.02,-0.02,-
Current Ratio,35.43,35.43,44.95
Asset Turnover,0.01,0.01,0.23
Return on Equity (ROE),-16.50%,-16.50%,-12.40%
Return on Assets (ROA),-16.00%,-16.00%,-10.90%
Return on Capital (ROIC),-30.70%,-30.70%,-20.20%
Earnings Yield,-35.26%,-47.65%,-6.35%
FCF Yield,-92.17%,-124.57%,-2.34%
Buyback Yield / Dilution,-18.84%,-0.08%,-18.74%
Total Shareholder Return,-18.84%,-0.08%,-18.74%
