Year,Current,2022
Market Capitalization,45,151
Enterprise Value,33,139
PE Ratio,66.16,21.10
PB Ratio,-7.98,-31.18
P/FCF Ratio,-91.67,-376.03
P/OCF Ratio,-91.67,-376.03
EV/EBITDA Ratio,10.29,19.36
EV/EBIT Ratio,10.29,19.36
EV/FCF Ratio,-66.13,-345.06
Debt / Equity Ratio,-0.10,-0.12
Debt / EBITDA Ratio,0.18,0.08
Debt / FCF Ratio,-1.18,-1.43
Current Ratio,38.40,128.14
Return on Equity (ROE),-99.80%,-1302.70%
Return on Assets (ROA),4.90%,7.90%
Return on Capital (ROIC),4.90%,7.90%
Earnings Yield,7.05%,4.74%
FCF Yield,-1.08%,-0.27%
Buyback Yield / Dilution,71.17%,-
Total Shareholder Return,71.17%,-
