Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,"1,219","1,304","1,527","1,052","1,427","1,201","1,396","1,262",807,846,840,Upgrade
Market Cap Growth,-,-14.60%,45.24%,-26.28%,18.78%,-13.94%,10.60%,56.39%,-4.59%,0.66%,20.04%,Upgrade
Enterprise Value,"1,290","1,704","1,453","1,046","1,741","2,009","2,084","2,095","2,330","2,039","1,606",Upgrade
PE Ratio,8.59,10.18,11.05,14.32,13.54,11.17,25.30,21.18,16.09,19.02,20.25,Upgrade
PS Ratio,2.98,3.35,3.95,3.44,4.19,3.66,4.59,5.15,3.44,3.62,3.72,Upgrade
PB Ratio,1.00,1.24,1.38,0.98,1.35,1.23,1.57,1.68,1.12,1.18,1.18,Upgrade
P/FCF Ratio,8.55,9.30,9.89,10.72,15.81,9.56,18.19,15.43,11.89,11.88,11.04,Upgrade
P/OCF Ratio,7.68,8.62,9.25,9.95,13.25,8.88,15.80,14.14,11.09,10.30,9.80,Upgrade
EV/Sales Ratio,3.15,4.37,3.76,3.42,5.11,6.12,6.85,8.55,9.92,8.74,7.12,Upgrade
EV/EBITDA Ratio,7.43,9.98,7.88,10.27,12.33,14.27,18.49,22.69,29.63,26.88,23.67,Upgrade
EV/EBIT Ratio,7.88,10.64,8.41,11.59,13.30,15.13,20.09,24.58,32.82,32.81,28.29,Upgrade
EV/FCF Ratio,9.05,12.15,9.41,10.66,19.29,15.99,27.16,25.62,34.33,28.65,21.10,Upgrade
Debt / Equity Ratio,0.38,0.53,0.29,0.33,0.41,0.93,0.90,1.27,2.21,1.77,1.18,Upgrade
Debt / EBITDA Ratio,2.69,3.24,1.74,3.44,3.09,6.44,7.06,10.28,20.25,16.71,12.43,Upgrade
Debt / FCF Ratio,3.27,3.95,2.08,3.57,4.83,7.22,10.37,11.60,23.46,17.81,11.08,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),12.00%,12.20%,12.50%,6.90%,10.20%,11.30%,6.40%,8.00%,7.00%,6.20%,5.80%,Upgrade
Return on Assets (ROA),1.30%,1.30%,1.50%,0.80%,1.30%,1.40%,0.80%,0.90%,0.80%,0.70%,0.70%,Upgrade
Return on Capital (ROIC),1.70%,1.70%,1.90%,1.00%,1.60%,1.70%,1.30%,1.10%,0.90%,0.90%,0.90%,Upgrade
Earnings Yield,10.72%,9.83%,9.05%,6.98%,7.38%,8.95%,3.95%,4.72%,6.21%,5.26%,4.94%,Upgrade
FCF Yield,11.70%,10.75%,10.11%,9.33%,6.33%,10.46%,5.50%,6.48%,8.41%,8.41%,9.06%,Upgrade
Dividend Yield,4.09%,3.42%,2.85%,4.09%,2.76%,2.89%,2.19%,1.97%,3.10%,3.08%,2.66%,Upgrade
Payout Ratio,35.00%,34.70%,31.40%,58.70%,37.40%,32.10%,55.20%,41.80%,50.00%,58.30%,53.50%,Upgrade
Buyback Yield / Dilution,-5.80%,2.04%,1.96%,0.84%,0.64%,-4.08%,-7.29%,0.57%,4.04%,4.04%,6.60%,Upgrade
Total Shareholder Return,-1.71%,5.46%,4.82%,4.93%,3.40%,-1.19%,-5.11%,2.54%,7.14%,7.12%,9.26%,Upgrade
