Year,Current,2022,2021,2020,2019,2018
Market Capitalization,67,63,783,"3,940",-,-
Market Cap Growth,-,-91.91%,-80.13%,-,-,-
Enterprise Value,-316,-404,76,"3,014",-224,-107
PE Ratio,-0.24,-0.21,-1.50,-10.85,-,-
PS Ratio,0.23,0.20,2.27,11.36,-,-
PB Ratio,0.28,0.23,1.46,3.82,-,-
P/FCF Ratio,-0.25,-0.29,-1.89,-13.38,-,-
P/OCF Ratio,-0.26,-0.30,-1.94,-13.72,-,-
EV/Sales Ratio,-1.08,-1.30,0.22,8.69,-0.77,-2.48
EV/EBITDA Ratio,1.53,1.62,-0.16,-11.18,0.88,1.59
EV/EBIT Ratio,1.44,1.54,-0.15,-10.57,0.86,1.57
EV/FCF Ratio,1.27,1.84,-0.18,-10.24,1.61,3.62
Debt / Equity Ratio,1.22,1.07,-,0.18,-0.51,-0.15
Debt / EBITDA Ratio,-1.42,-1.18,-,-0.70,-0.75,-0.22
Debt / FCF Ratio,-1.18,-1.35,-,-0.64,-1.38,-0.51
Asset Turnover,0.22,0.22,0.23,0.28,0.61,-
Return on Equity (ROE),-84.60%,-81.30%,-72.70%,-110.30%,118.50%,-
Return on Assets (ROA),-19.50%,-20.70%,-34.00%,-29.10%,-59.80%,-
Return on Capital (ROIC),-26.10%,-30.00%,-64.60%,-42.60%,-84.90%,-
Earnings Yield,-387.38%,-470.23%,-66.57%,-9.21%,-,-
FCF Yield,-371.86%,-346.55%,-52.97%,-7.47%,-,-
Buyback Yield / Dilution,-1.43%,-2.17%,-228.57%,-123.05%,-33.93%,-
Total Shareholder Return,-1.43%,-2.17%,-228.57%,-123.05%,-33.93%,-
