Year,Current,2022,2021,2020,2019
Market Capitalization,"2,435","2,889","3,951",-,-
Market Cap Growth,-,-26.89%,-,-,-
Enterprise Value,"6,335","4,006","6,970",-584,757
PE Ratio,1.20,0.51,1.24,-,-
PS Ratio,0.25,0.20,0.43,-,-
PB Ratio,0.27,0.33,0.38,-,-
P/FCF Ratio,0.40,0.55,0.70,-,-
P/OCF Ratio,0.40,0.55,0.70,-,-
EV/Sales Ratio,0.67,0.28,0.75,-0.16,0.22
EV/EBITDA Ratio,2.27,0.56,1.82,0.24,-0.99
EV/EBIT Ratio,2.27,0.56,1.82,0.24,-0.99
EV/FCF Ratio,1.09,0.77,1.23,-0.16,0.17
Debt / Equity Ratio,0.67,0.63,0.54,0.15,0.39
Debt / EBITDA Ratio,2.07,0.75,1.48,-0.60,-3.51
Debt / FCF Ratio,0.99,1.04,0.99,0.39,0.62
Asset Turnover,0.03,0.05,0.03,0.01,-
Return on Equity (ROE),24.30%,62.00%,31.00%,-20.10%,-
Return on Assets (ROA),0.70%,1.80%,0.90%,-0.50%,-
Return on Capital (ROIC),0.90%,2.20%,1.00%,-0.70%,-
Earnings Yield,92.88%,197.21%,80.55%,-,-
FCF Yield,247.98%,180.21%,143.80%,-,-
Dividend Yield,7.71%,6.32%,1.20%,-,-
Payout Ratio,6.50%,3.30%,1.50%,0.00%,0.00%
Buyback Yield / Dilution,5.88%,12.10%,-,-,-
Total Shareholder Return,13.86%,18.42%,1.20%,-,-
