Year,Current,2022
Market Capitalization,82,78
Enterprise Value,24,20
PE Ratio,-41.98,-41.98
PB Ratio,-14.98,-14.98
P/FCF Ratio,-57.57,-57.57
P/OCF Ratio,-57.57,-57.57
EV/EBITDA Ratio,-11.07,-11.07
EV/EBIT Ratio,-11.07,-11.07
EV/FCF Ratio,-14.52,-14.52
Debt / Equity Ratio,-0.35,-0.35
Debt / EBITDA Ratio,-1.03,-1.03
Debt / FCF Ratio,-1.35,-1.35
Current Ratio,1.29,1.29
Return on Equity (ROE),54.30%,54.30%
Return on Assets (ROA),-3.10%,-3.10%
Return on Capital (ROIC),-3.90%,-3.90%
Earnings Yield,-2.25%,-2.38%
FCF Yield,-1.64%,-1.74%
Buyback Yield / Dilution,-34.51%,-
Total Shareholder Return,-34.51%,-
