Year,Current,2022,2021
Market Capitalization,89,305,293
Market Cap Growth,-,4.02%,-
Enterprise Value,89,305,292
PE Ratio,37.14,36.41,31.10
PB Ratio,-28.62,-28.62,-18.77
P/FCF Ratio,-403.50,-403.50,-226.85
P/OCF Ratio,-403.50,-403.50,-226.85
EV/EBITDA Ratio,10.62,36.40,31.01
EV/EBIT Ratio,10.62,36.40,31.01
EV/FCF Ratio,-403.44,-403.44,-226.18
Current Ratio,1.02,1.02,9.74
Return on Equity (ROE),-78.50%,-78.50%,-168.50%
Return on Assets (ROA),3.40%,3.40%,3.90%
Return on Capital (ROIC),3.40%,3.40%,3.90%
Earnings Yield,9.41%,2.75%,3.22%
FCF Yield,-0.85%,-0.25%,-0.44%
Buyback Yield / Dilution,-8.05%,-8.05%,-
Total Shareholder Return,-8.05%,-8.05%,-
