Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,467,558,616,472,475,525,717,718,644,458,386,Upgrade
Market Cap Growth,-,-9.42%,30.47%,-0.66%,-9.42%,-26.80%,-0.18%,11.53%,40.72%,18.47%,80.03%,Upgrade
Enterprise Value,437,495,535,374,382,440,640,661,587,422,353,Upgrade
PE Ratio,10.88,13.80,8.30,12.21,8.65,11.08,14.34,15.60,17.37,14.49,17.44,Upgrade
PS Ratio,3.26,3.61,3.38,3.74,3.48,3.60,4.94,5.28,5.18,4.38,4.74,Upgrade
PB Ratio,2.82,3.41,3.34,2.57,2.47,2.68,4.16,5.16,6.12,6.16,8.60,Upgrade
P/FCF Ratio,12.14,14.17,24.44,8.24,8.45,19.19,11.99,36.67,12.76,11.13,11.34,Upgrade
P/OCF Ratio,12.11,14.13,23.41,7.90,8.34,18.66,11.77,35.78,12.38,10.74,11.17,Upgrade
EV/Sales Ratio,2.99,3.20,2.94,2.96,2.80,3.02,4.41,4.86,4.71,4.03,4.34,Upgrade
EV/EBITDA Ratio,7.14,8.85,5.27,6.97,5.11,6.55,7.98,9.00,10.01,8.33,9.83,Upgrade
EV/EBIT Ratio,7.30,9.08,5.34,7.10,5.19,6.67,8.06,9.09,10.12,8.38,9.91,Upgrade
EV/FCF Ratio,11.11,12.56,21.24,6.52,6.79,16.10,10.71,33.75,11.62,10.26,10.37,Upgrade
Asset Turnover,0.60,0.61,0.63,0.49,0.47,0.46,0.61,0.79,0.94,1.13,1.38,Upgrade
Return on Equity (ROE),26.20%,23.60%,36.30%,19.80%,26.00%,23.20%,29.20%,34.80%,37.00%,47.00%,54.30%,Upgrade
Return on Assets (ROA),18.00%,16.10%,25.80%,15.00%,18.90%,14.90%,21.10%,26.60%,28.00%,34.20%,37.60%,Upgrade
Return on Capital (ROIC),31.70%,28.60%,49.90%,34.80%,39.40%,27.80%,48.90%,64.50%,68.20%,79.80%,90.30%,Upgrade
Earnings Yield,9.23%,7.25%,12.04%,8.19%,11.56%,9.03%,6.97%,6.41%,5.76%,6.90%,5.74%,Upgrade
FCF Yield,8.24%,7.06%,4.09%,12.14%,11.84%,5.21%,8.34%,2.73%,7.84%,8.98%,8.82%,Upgrade
Dividend Yield,6.37%,5.57%,11.87%,8.17%,6.51%,5.36%,3.37%,2.85%,2.61%,2.85%,2.48%,Upgrade
Payout Ratio,69.60%,76.90%,98.50%,99.80%,56.30%,59.30%,48.30%,44.40%,44.20%,40.50%,42.60%,Upgrade
Buyback Yield / Dilution,5.05%,2.26%,1.09%,6.46%,2.22%,-1.82%,-1.13%,-1.60%,-2.87%,-2.25%,-2.67%,Upgrade
Total Shareholder Return,11.45%,7.83%,12.96%,14.63%,8.72%,3.54%,2.24%,1.26%,-0.26%,0.60%,-0.18%,Upgrade
