Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,382","2,103","2,116","1,893","2,028","1,772","2,017","1,778","1,386",912,987,Upgrade
Market Cap Growth,-,-0.58%,11.78%,-6.66%,14.43%,-12.13%,13.45%,28.30%,51.87%,-7.53%,105.18%,Upgrade
Enterprise Value,"1,698","2,668",723,"1,756","2,478","1,854","2,033","1,783","1,744",940,912,Upgrade
PE Ratio,7.75,12.67,12.03,22.63,12.10,12.06,21.88,19.55,20.37,15.31,29.46,Upgrade
PS Ratio,2.17,3.47,3.24,3.29,3.44,3.32,4.37,4.13,4.02,3.30,4.51,Upgrade
PB Ratio,0.63,0.99,0.96,0.89,0.95,0.87,1.33,1.44,1.34,1.28,1.48,Upgrade
P/FCF Ratio,4.05,3.75,16.03,35.07,15.32,29.21,10.28,11.64,6.03,8.65,6.79,Upgrade
P/OCF Ratio,3.83,3.66,14.83,23.01,12.39,21.58,9.74,10.85,5.48,7.32,6.44,Upgrade
EV/Sales Ratio,2.67,4.40,1.11,3.05,4.20,3.47,4.40,4.14,5.06,3.39,4.17,Upgrade
EV/EBITDA Ratio,6.37,10.50,2.68,12.71,11.07,9.65,12.34,12.84,16.01,10.00,16.63,Upgrade
EV/EBIT Ratio,7.47,12.62,3.24,16.97,11.49,9.83,12.71,13.14,17.49,10.94,19.93,Upgrade
EV/FCF Ratio,4.98,4.76,5.48,32.53,18.72,30.56,10.37,11.68,7.60,8.91,6.28,Upgrade
Debt / Equity Ratio,0.53,0.53,0.22,0.23,0.41,0.32,0.20,0.25,0.55,0.27,0.26,Upgrade
Debt / EBITDA Ratio,4.37,4.49,1.80,3.59,3.87,3.39,1.81,2.25,5.24,2.01,3.13,Upgrade
Debt / FCF Ratio,3.41,2.03,3.68,9.20,6.54,10.73,1.52,2.04,2.48,1.79,1.18,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,Upgrade
Return on Equity (ROE),8.40%,7.80%,8.00%,4.00%,7.90%,8.20%,6.60%,8.00%,7.70%,8.60%,5.80%,Upgrade
Return on Assets (ROA),1.10%,1.00%,1.10%,0.60%,1.30%,1.30%,1.00%,1.10%,1.00%,1.00%,0.70%,Upgrade
Return on Capital (ROIC),1.40%,1.40%,1.60%,0.70%,1.80%,1.70%,1.80%,1.60%,1.50%,1.60%,1.00%,Upgrade
Earnings Yield,12.92%,7.90%,8.31%,4.42%,8.27%,8.29%,4.57%,5.12%,4.91%,6.53%,3.39%,Upgrade
FCF Yield,24.67%,26.65%,6.24%,2.85%,6.53%,3.42%,9.72%,8.59%,16.58%,11.55%,14.72%,Upgrade
Dividend Yield,3.57%,2.34%,2.32%,2.61%,2.46%,2.65%,1.79%,1.68%,1.98%,2.35%,2.16%,Upgrade
Payout Ratio,27.60%,29.60%,28.10%,59.10%,30.10%,28.60%,37.10%,32.60%,36.00%,36.00%,55.30%,Upgrade
Buyback Yield / Dilution,-0.36%,-0.37%,0.80%,1.84%,2.50%,-19.05%,-17.14%,-4.56%,-27.68%,-0.55%,-24.83%,Upgrade
Total Shareholder Return,3.21%,1.97%,3.12%,4.45%,4.95%,-16.40%,-15.36%,-2.88%,-25.70%,1.80%,-22.67%,Upgrade
