Year,Current,2022,2021,2020,2019
Market Capitalization,291,25,620,-,-
Market Cap Growth,-,-96.03%,-,-,-
Enterprise Value,347,92,647,3,1
PE Ratio,-0.30,-0.28,-55.26,-,-
PS Ratio,3.07,0.23,20.05,-,-
PB Ratio,3.54,0.30,-10.47,-,-
P/FCF Ratio,-0.57,-0.25,-2.40,-,-
P/OCF Ratio,-1.14,-0.91,-121.98,-,-
EV/Sales Ratio,3.67,0.87,20.92,0.78,0.10
EV/EBITDA Ratio,-1.83,-3.27,635.86,5.19,-0.91
EV/EBIT Ratio,-0.97,-1.22,-98.14,53.13,-0.65
EV/FCF Ratio,-1.58,-0.93,-2.50,-2.30,1.42
Debt / Equity Ratio,0.77,0.97,-1.17,-0.93,-0.44
Debt / EBITDA Ratio,-1.32,-2.88,68.15,6.05,-1.04
Debt / FCF Ratio,-1.14,-0.82,-0.27,-2.68,1.62
Current Ratio,0.77,0.59,0.59,0.12,0.15
Asset Turnover,0.37,0.35,0.17,0.48,-
Return on Equity (ROE),-103.60%,-98.80%,35.50%,4.20%,-
Return on Assets (ROA),-40.30%,-29.30%,-6.20%,-1.70%,-
Return on Capital (ROIC),-37.30%,-27.60%,-4.40%,14.80%,-
Earnings Yield,-35.90%,-362.87%,-1.81%,-,-
FCF Yield,-19.21%,-401.38%,-41.75%,-,-
Buyback Yield / Dilution,-116.55%,-368.39%,87.81%,-,-
Total Shareholder Return,-116.55%,-368.39%,87.81%,-,-
