Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,"2,006","1,747","1,874","1,921","2,256","1,183","1,021",630,398,533,739
Market Cap Growth,-,-6.76%,-2.47%,-14.83%,90.59%,15.96%,62.04%,58.37%,-25.37%,-27.90%,-
Enterprise Value,"2,312","2,098","2,192","2,187","2,360","1,305","1,145",726,484,430,683
PE Ratio,6.86,5.96,8.11,11.20,13.12,10.97,46.28,9.84,-14.31,-10.90,-13.39
PS Ratio,3.75,3.34,3.86,4.43,5.96,4.30,5.59,5.09,7.42,27.72,104.25
PB Ratio,1.17,1.08,1.20,1.40,2.42,1.69,2.01,1.33,0.99,1.25,1.60
P/FCF Ratio,6.39,5.77,5.98,7.99,11.38,8.59,17.22,10.42,11.26,-18.26,-17.19
P/OCF Ratio,6.19,5.57,5.75,7.61,10.84,8.11,15.06,8.75,9.59,-25.41,-20.35
EV/Sales Ratio,4.34,4.01,4.52,5.05,6.23,4.74,6.27,5.87,9.03,22.36,96.36
EV/EBITDA Ratio,5.37,4.98,6.45,8.67,9.92,8.22,15.69,22.73,-23.20,-9.95,-14.51
EV/EBIT Ratio,5.52,5.12,6.67,9.02,10.32,8.65,17.27,27.62,-18.82,-8.38,-12.38
EV/FCF Ratio,7.39,6.93,6.99,9.10,11.91,9.47,19.33,12.01,13.71,-14.73,-15.88
Debt / Equity Ratio,0.23,0.25,0.25,0.29,0.16,0.21,0.28,0.30,0.36,-,-
Debt / EBITDA Ratio,0.92,0.94,1.16,1.56,0.61,0.92,1.97,4.52,-6.90,-,-
Debt / FCF Ratio,1.27,1.31,1.26,1.64,0.74,1.06,2.43,2.39,4.07,-,-
Asset Turnover,0.21,0.22,0.21,0.23,0.30,0.27,0.21,0.16,0.10,0.04,0.01
Return on Equity (ROE),18.80%,18.90%,15.60%,14.00%,20.40%,16.60%,4.40%,14.70%,-6.80%,-11.10%,-11.60%
Return on Assets (ROA),12.10%,12.00%,9.90%,8.90%,13.70%,10.40%,2.50%,8.40%,-5.40%,-10.50%,-10.80%
Return on Capital (ROIC),15.00%,15.00%,12.50%,12.10%,16.80%,13.20%,6.70%,3.10%,-5.50%,-13.40%,-25.40%
Earnings Yield,14.99%,16.77%,12.34%,8.93%,7.62%,9.12%,2.16%,10.16%,-6.99%,-9.18%,-7.47%
FCF Yield,15.65%,17.34%,16.73%,12.52%,8.79%,11.64%,5.81%,9.60%,8.88%,-5.48%,-5.82%
Buyback Yield / Dilution,2.83%,1.02%,-9.62%,-13.69%,-3.06%,-8.79%,-2.23%,-3.66%,-0.69%,-4.06%,-47.73%
Total Shareholder Return,2.83%,1.02%,-9.62%,-13.69%,-3.06%,-8.79%,-2.23%,-3.66%,-0.69%,-4.06%,-47.73%
