Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,106,137,135,116,74,50,64,28,21,19,21,Upgrade
Market Cap Growth,-,1.72%,16.27%,55.93%,48.25%,-21.03%,127.20%,32.32%,9.63%,-8.27%,-8.28%,Upgrade
Enterprise Value,51,115,78,126,75,18,37,-11,16,11,22,Upgrade
PE Ratio,5.83,7.56,7.32,4.25,7.93,11.76,93.57,36.37,5.85,332.84,-22.92,Upgrade
PS Ratio,2.01,2.68,2.44,1.51,2.23,2.44,4.41,2.28,1.94,1.94,3.10,Upgrade
PB Ratio,0.74,0.99,1.08,1.05,0.92,1.10,1.58,0.71,0.55,0.56,0.92,Upgrade
P/FCF Ratio,4.43,3.54,0.54,-0.94,-0.72,-4.04,17.49,16.05,4.19,32.50,-4.70,Upgrade
P/OCF Ratio,4.23,3.45,0.53,-0.94,-0.72,-4.25,16.10,15.63,4.15,18.30,-5.09,Upgrade
EV/Sales Ratio,0.97,2.24,1.41,1.64,2.25,0.87,2.58,-0.90,1.43,1.07,3.27,Upgrade
EV/EBITDA Ratio,2.30,5.17,3.75,3.59,6.14,3.24,10.39,-4.25,10.25,11.84,-80.29,Upgrade
EV/EBIT Ratio,2.26,5.08,3.41,3.48,6.25,3.36,10.74,-4.50,12.13,22.25,-24.14,Upgrade
EV/FCF Ratio,2.14,2.95,0.31,-1.02,-0.72,-1.44,10.22,-6.29,3.08,17.95,-4.95,Upgrade
Debt / Equity Ratio,1.11,0.93,0.87,2.10,0.58,0.77,0.48,0.49,0.53,0.58,0.97,Upgrade
Debt / EBITDA Ratio,7.19,5.82,5.27,6.59,3.81,6.34,5.35,7.38,13.36,22.28,-80.64,Upgrade
Debt / FCF Ratio,6.68,3.33,0.44,-1.87,-0.45,-2.83,5.26,10.92,4.02,33.76,-4.97,Upgrade
Asset Turnover,0.03,0.03,0.04,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),13.20%,13.60%,15.20%,28.10%,16.10%,9.90%,1.70%,2.00%,10.10%,0.20%,-4.10%,Upgrade
Return on Assets (ROA),1.00%,1.10%,1.20%,2.20%,1.20%,0.70%,0.20%,0.20%,1.10%,0.00%,-0.40%,Upgrade
Return on Capital (ROIC),1.30%,1.40%,1.60%,2.80%,1.60%,1.00%,0.80%,0.60%,0.40%,0.20%,-0.40%,Upgrade
Earnings Yield,17.11%,13.22%,13.66%,23.53%,12.61%,8.50%,1.07%,2.75%,17.10%,0.30%,-4.36%,Upgrade
FCF Yield,22.58%,28.29%,185.64%,-106.63%,-139.59%,-24.72%,5.72%,6.23%,23.89%,3.08%,-21.26%,Upgrade
Dividend Yield,1.30%,0.85%,0.63%,0.17%,-,-,-,-,-,-,-,Upgrade
Payout Ratio,6.70%,6.30%,4.60%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,Upgrade
Buyback Yield / Dilution,-0.48%,1.40%,-0.19%,-22.96%,-24.24%,-2.17%,-44.58%,0.19%,-1.33%,-,0.01%,Upgrade
Total Shareholder Return,0.82%,2.25%,0.44%,-22.79%,-24.24%,-2.17%,-44.58%,0.19%,-1.33%,-,0.01%,Upgrade
