Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 2001
Market Capitalization,"10,948","12,927","16,287","14,137","12,181","20,641","22,625","15,979","21,822","23,861","22,604",Upgrade
Market Cap Growth,-,-20.63%,15.21%,16.06%,-40.99%,-8.77%,41.59%,-26.78%,-8.55%,5.56%,42.34%,Upgrade
Enterprise Value,"171,918","174,061","193,558","234,614","216,413","214,455","239,727","209,442","211,421","257,986","259,941",Upgrade
PE Ratio,16.30,11.02,11.58,7.03,-13.34,10.76,10.46,13.64,11.64,11.49,19.86,Upgrade
PS Ratio,0.96,1.16,1.26,1.18,1.20,1.58,1.79,1.29,1.63,1.58,1.17,Upgrade
PB Ratio,0.45,0.54,0.66,0.57,0.51,0.86,0.90,0.67,0.97,0.98,0.93,Upgrade
P/FCF Ratio,-1.14,-1.14,2.98,-113.07,-3.21,-4.66,2.04,1.50,-20.60,5.85,5.01,Upgrade
P/OCF Ratio,-1.15,-1.15,2.66,-95.68,-3.71,-5.29,1.92,1.45,-33.97,5.37,3.87,Upgrade
EV/Sales Ratio,15.37,15.56,15.04,19.66,21.32,16.37,18.93,16.85,15.80,17.05,13.50,Upgrade
EV/EBITDA Ratio,74.15,75.08,73.38,81.80,1642.66,62.09,67.97,100.71,59.73,60.57,74.03,Upgrade
EV/EBIT Ratio,93.94,95.11,94.36,102.95,-548.11,75.84,83.05,152.58,73.36,73.99,102.34,Upgrade
EV/FCF Ratio,-15.32,-15.32,35.39,-1876.43,-57.04,-48.38,21.57,19.66,-199.59,63.23,57.59,Upgrade
Debt / Equity Ratio,7.99,7.99,8.57,10.28,9.67,9.03,9.61,9.41,9.00,10.32,10.35,Upgrade
Debt / EBITDA Ratio,82.37,82.37,80.41,88.18,1755.58,62.88,68.58,108.75,57.44,59.20,71.77,Upgrade
Debt / FCF Ratio,-16.81,-16.81,38.78,-2022.88,-60.96,-49.00,21.77,21.23,-191.93,61.80,55.84,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),5.10%,5.10%,5.70%,8.20%,-3.70%,7.90%,8.70%,4.90%,8.60%,8.90%,4.90%,Upgrade
Return on Assets (ROA),0.30%,0.30%,0.40%,0.50%,-0.20%,0.50%,0.60%,0.30%,0.50%,0.50%,0.30%,Upgrade
Return on Capital (ROIC),0.40%,0.40%,0.30%,0.40%,-0.10%,0.50%,0.50%,0.20%,0.50%,0.60%,0.40%,Upgrade
Earnings Yield,10.88%,9.07%,8.63%,14.23%,-7.50%,9.30%,9.56%,7.33%,8.59%,8.70%,5.04%,Upgrade
FCF Yield,-105.37%,-87.90%,33.58%,-0.88%,-31.15%,-21.47%,49.12%,66.66%,-4.85%,17.10%,19.97%,Upgrade
Dividend Yield,3.44%,-,-,1.08%,0.72%,3.08%,2.68%,2.14%,2.32%,2.32%,1.25%,Upgrade
Payout Ratio,0.00%,0.00%,0.00%,7.30%,-9.60%,32.60%,27.70%,29.20%,26.40%,26.60%,25.00%,Upgrade
Buyback Yield / Dilution,13.19%,-0.81%,8.22%,2.42%,3.84%,2.22%,-0.26%,3.19%,-0.18%,-1.30%,-1.74%,Upgrade
Total Shareholder Return,16.68%,-0.81%,8.22%,3.50%,4.56%,5.29%,2.41%,5.33%,2.14%,1.02%,-0.49%,Upgrade
