Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,25,34,22,64,247,691,"1,069"
Market Cap Growth,-,54.61%,-66.04%,-74.04%,-64.19%,-35.34%,-
Enterprise Value,-32,-22,-63,-59,121,494,835
PE Ratio,-1.89,-1.89,-0.70,-1.38,-3.83,-29.01,-34.98
PS Ratio,0.17,0.24,0.17,0.72,1.21,2.49,4.89
PB Ratio,0.40,0.55,0.28,0.60,1.63,3.01,4.60
P/FCF Ratio,-1.51,-1.51,-0.47,-4.04,-7.98,-41.64,-150.69
P/OCF Ratio,-1.52,-1.52,-0.47,-3.91,-8.63,-65.57,-251.64
EV/Sales Ratio,-0.16,-0.16,-0.50,-0.65,0.59,1.78,3.82
EV/EBITDA Ratio,1.33,1.33,2.18,1.35,-2.00,-23.74,-32.90
EV/EBIT Ratio,1.28,1.28,2.06,1.26,-1.84,-20.19,-31.81
EV/FCF Ratio,1.00,1.00,1.36,3.68,-3.90,-29.78,-117.79
Debt / Equity Ratio,0.59,0.59,0.36,0.23,0.06,0.08,-
Debt / EBITDA Ratio,-2.17,-2.17,-0.98,-0.56,-0.14,-0.90,-
Debt / FCF Ratio,-1.62,-1.62,-0.61,-1.53,-0.28,-1.13,-
Current Ratio,1.73,1.73,1.80,1.94,2.49,2.98,5.03
Asset Turnover,1.00,1.00,0.65,0.38,0.70,0.87,1.41
Return on Equity (ROE),-28.00%,-28.00%,-33.20%,-34.50%,-33.90%,-10.50%,-25.40%
Return on Assets (ROA),-12.50%,-12.50%,-16.20%,-19.80%,-22.10%,-7.40%,-19.70%
Return on Capital (ROIC),-38.10%,-38.10%,-70.10%,-81.70%,-86.40%,-58.70%,-735.30%
Earnings Yield,-72.64%,-52.87%,-143.08%,-72.38%,-26.08%,-3.45%,-2.86%
FCF Yield,-91.28%,-66.44%,-213.13%,-24.72%,-12.54%,-2.40%,-0.66%
Buyback Yield / Dilution,-0.09%,-0.09%,-0.13%,-0.60%,-0.78%,-18.07%,-2.29%
Total Shareholder Return,-0.09%,-0.09%,-0.13%,-0.60%,-0.78%,-18.07%,-2.29%
