Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Market Capitalization,"10,923","10,497","15,639","21,660","14,322","7,944","7,573","5,521","4,161","2,680","2,518",Upgrade
Market Cap Growth,-,-32.88%,-27.80%,51.24%,80.29%,4.89%,37.16%,32.68%,55.25%,6.44%,91.29%,Upgrade
Enterprise Value,"10,570","10,098","15,171","21,243","14,150","7,697","7,406","5,353","3,962","2,511","2,386",Upgrade
PE Ratio,41.82,41.95,60.64,72.35,69.90,45.96,51.14,43.76,43.33,35.83,33.13,Upgrade
PS Ratio,14.78,14.61,22.38,31.43,28.01,18.24,19.25,15.01,13.73,10.20,10.55,Upgrade
PB Ratio,9.69,9.71,15.02,22.68,18.60,13.07,14.71,11.80,10.65,8.02,8.11,Upgrade
P/FCF Ratio,40.49,44.22,67.56,60.36,61.94,45.05,53.15,77.50,38.14,28.17,37.25,Upgrade
P/OCF Ratio,33.93,36.29,55.44,53.55,53.85,35.48,45.07,61.52,33.42,24.38,27.71,Upgrade
EV/Sales Ratio,14.37,14.06,21.70,30.83,27.67,17.67,18.82,14.56,13.07,9.56,9.99,Upgrade
EV/EBITDA Ratio,25.47,24.86,38.41,50.78,48.78,31.92,33.51,25.56,23.80,18.48,18.67,Upgrade
EV/EBIT Ratio,30.49,29.79,45.32,56.57,54.97,35.30,36.71,27.94,26.79,21.19,20.79,Upgrade
EV/FCF Ratio,39.36,42.54,65.54,59.20,61.19,43.65,51.98,75.14,36.30,26.39,35.29,Upgrade
Debt / Equity Ratio,0.07,0.08,0.08,0.10,0.13,-,-,-,-,-,-,Upgrade
Debt / EBITDA Ratio,0.20,0.20,0.22,0.22,0.34,-,-,-,-,-,-,Upgrade
Debt / FCF Ratio,0.30,0.35,0.38,0.26,0.42,-,-,-,-,-,-,Upgrade
Asset Turnover,0.46,0.45,0.45,0.60,0.60,0.68,0.71,0.75,0.74,0.73,0.75,Upgrade
Return on Equity (ROE),24.50%,24.30%,25.10%,34.20%,29.70%,30.30%,29.50%,28.60%,26.20%,23.00%,27.10%,Upgrade
Return on Assets (ROA),16.30%,15.50%,16.60%,26.10%,24.10%,27.10%,26.70%,25.80%,23.50%,20.70%,23.90%,Upgrade
Return on Capital (ROIC),33.80%,32.80%,37.30%,60.90%,46.10%,57.60%,57.80%,70.70%,86.70%,80.40%,95.60%,Upgrade
Earnings Yield,2.38%,2.38%,1.65%,1.38%,1.43%,2.18%,1.96%,2.29%,2.31%,2.79%,3.02%,Upgrade
FCF Yield,2.47%,2.26%,1.48%,1.66%,1.61%,2.22%,1.88%,1.29%,2.62%,3.55%,2.68%,Upgrade
Dividend Yield,0.98%,1.00%,0.64%,0.42%,0.54%,0.80%,0.66%,0.71%,0.72%,0.90%,0.78%,Upgrade
Payout Ratio,40.90%,41.90%,38.40%,30.00%,36.90%,35.90%,32.80%,30.40%,30.50%,31.50%,25.20%,Upgrade
Buyback Yield / Dilution,0.47%,1.19%,0.12%,-0.50%,-0.27%,0.48%,-0.79%,-0.27%,0.67%,-0.00%,-0.19%,Upgrade
Total Shareholder Return,1.46%,2.20%,0.77%,-0.07%,0.27%,1.28%,-0.13%,0.44%,1.39%,0.90%,0.59%,Upgrade
