Year,Current,2022,2021,2020
Market Capitalization,"10,967","12,939",-,-
Enterprise Value,"22,321","27,713","15,143","10,592"
PE Ratio,2.45,1.59,-,-
PS Ratio,0.47,0.49,-,-
PB Ratio,0.93,1.38,-,-
P/FCF Ratio,3.60,4.80,-,-
P/OCF Ratio,3.60,4.80,-,-
EV/Sales Ratio,0.98,1.04,0.65,0.70
EV/EBITDA Ratio,3.49,2.37,1.49,7.35
EV/EBIT Ratio,3.88,2.60,1.58,9.48
EV/FCF Ratio,7.49,10.28,6.15,3.18
Debt / Equity Ratio,1.04,1.63,0.58,0.30
Debt / EBITDA Ratio,1.88,1.31,1.54,7.80
Debt / FCF Ratio,4.05,5.69,6.37,3.38
Asset Turnover,0.06,0.07,0.06,-
Return on Equity (ROE),41.90%,67.50%,22.90%,-
Return on Assets (ROA),1.20%,2.20%,1.80%,-
Return on Capital (ROIC),1.50%,2.80%,2.30%,-
Earnings Yield,39.42%,62.98%,-,-
FCF Yield,27.79%,20.83%,-,-
Dividend Yield,4.08%,-,-,-
Buyback Yield / Dilution,-0.90%,-,-,-545.00%
Total Shareholder Return,3.27%,-,-,-545.00%
