Year,Current,2022,2021
Market Capitalization,343,333,-
Enterprise Value,343,333,0
PE Ratio,18.63,20.34,-
PB Ratio,-30.76,-30.74,-
P/FCF Ratio,77.57,190.61,-
P/OCF Ratio,77.57,190.61,-
EV/EBITDA Ratio,18.45,20.30,-10.52
EV/EBIT Ratio,18.45,20.30,-10.52
EV/FCF Ratio,77.45,190.26,-
Debt / Equity Ratio,-,-,15.44
Debt / EBITDA Ratio,-,-,-12.32
Current Ratio,22.21,105.58,0.10
Return on Equity (ROE),-160.60%,-111.40%,-
Return on Assets (ROA),6.90%,6.10%,-
Return on Capital (ROIC),6.90%,6.10%,-
Earnings Yield,5.41%,4.92%,-
FCF Yield,1.29%,0.52%,-
Buyback Yield / Dilution,-122.77%,-458.97%,-
Total Shareholder Return,-122.77%,-458.97%,-
