Year,Current,2022,2021,2020
Market Capitalization,103,119,164,-
Market Cap Growth,-,-27.66%,-,-
Enterprise Value,10,26,80,54
PE Ratio,4.25,4.74,5.21,-
PS Ratio,1.38,1.59,2.29,-
PB Ratio,0.73,0.85,1.43,-
P/FCF Ratio,1.91,2.21,-14.22,-
P/OCF Ratio,1.68,1.95,-17.82,-
EV/Sales Ratio,0.13,0.34,1.11,1.45
EV/EBITDA Ratio,0.24,0.64,1.84,3.32
EV/EBIT Ratio,0.27,0.71,1.89,3.54
EV/FCF Ratio,0.18,0.48,-6.90,2.82
Debt / Equity Ratio,0.05,0.05,0.01,2.20
Debt / EBITDA Ratio,0.21,0.18,0.02,6.25
Debt / FCF Ratio,0.11,0.14,-0.09,5.32
Asset Turnover,0.17,0.19,0.21,0.15
Return on Equity (ROE),14.20%,18.90%,39.20%,28.40%
Return on Assets (ROA),4.90%,6.40%,9.10%,4.50%
Return on Capital (ROIC),9.30%,12.00%,12.70%,5.90%
Earnings Yield,24.39%,21.11%,19.20%,-
FCF Yield,52.38%,45.33%,-7.03%,-
Buyback Yield / Dilution,-46.65%,-46.65%,-12.87%,-14.41%
Total Shareholder Return,-46.65%,-46.65%,-12.87%,-14.41%
