Year,Current,2022,2021,2020,2019,2018
Market Capitalization,627,616,857,"1,016",-,-
Market Cap Growth,-,-28.07%,-15.72%,-,-,-
Enterprise Value,"1,461","1,395","2,887","3,065","1,421",937
PE Ratio,7.64,1.88,3.02,2.74,-,-
PS Ratio,0.81,0.53,0.54,0.63,-,-
PB Ratio,0.53,0.49,0.93,1.38,-,-
P/FCF Ratio,1.81,0.49,1.27,-2.13,-,-
P/OCF Ratio,1.79,0.49,1.26,-2.17,-,-
EV/Sales Ratio,1.86,1.20,1.83,1.89,1.99,1.30
EV/EBITDA Ratio,11.95,3.09,6.87,5.89,107.96,8.94
EV/EBIT Ratio,16.04,3.32,7.46,6.20,243.75,9.60
EV/FCF Ratio,4.12,1.11,4.27,-6.44,-3.32,-24.40
Debt / Equity Ratio,0.80,0.74,2.48,3.25,3.76,2.27
Debt / EBITDA Ratio,7.97,2.05,5.42,4.59,116.07,9.54
Debt / FCF Ratio,2.75,0.74,3.37,-5.02,-3.57,-26.03
Asset Turnover,0.24,0.34,0.35,0.44,0.31,-
Return on Equity (ROE),6.80%,27.20%,31.50%,64.90%,1.30%,-
Return on Assets (ROA),2.50%,9.50%,6.30%,10.00%,0.20%,-
Return on Capital (ROIC),2.30%,10.00%,6.10%,9.20%,0.20%,-
Earnings Yield,13.03%,53.33%,33.13%,36.46%,-,-
FCF Yield,55.35%,203.83%,78.92%,-46.86%,-,-
Dividend Yield,-,14.20%,-,-,-,
Payout Ratio,0.00%,0.00%,42.60%,0.00%,-,-
Buyback Yield / Dilution,0.97%,-0.91%,-1.28%,-,-,-
Total Shareholder Return,0.97%,-0.91%,12.92%,-,-,-
