Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,267,318,357,287,338,241,327,295,129,89,74,Upgrade
Market Cap Growth,-,-10.88%,24.52%,-15.16%,40.27%,-26.36%,11.00%,128.67%,45.17%,20.23%,105.46%,Upgrade
Enterprise Value,460,623,542,377,496,511,590,539,386,314,325,Upgrade
PE Ratio,4.27,6.08,7.91,9.15,10.60,8.58,27.45,17.04,8.00,8.39,10.13,Upgrade
PS Ratio,1.84,2.27,2.83,2.84,3.57,2.84,4.12,4.90,2.28,1.73,1.62,Upgrade
PB Ratio,0.72,0.90,1.09,1.02,1.36,1.10,1.62,1.90,0.90,0.67,0.67,Upgrade
P/FCF Ratio,3.68,4.46,5.69,7.32,9.05,7.07,13.77,11.29,3.76,2.24,1.93,Upgrade
P/OCF Ratio,3.80,4.68,5.77,6.42,8.26,6.25,13.42,12.70,5.45,3.47,2.62,Upgrade
EV/Sales Ratio,3.17,4.44,4.30,3.73,5.23,6.01,7.44,8.96,6.82,6.11,7.14,Upgrade
EV/EBITDA Ratio,6.14,8.61,8.66,8.63,11.29,13.12,23.73,20.12,15.90,18.08,27.25,Upgrade
EV/EBIT Ratio,6.57,9.25,9.44,9.72,12.52,14.55,27.36,21.29,16.78,19.57,30.19,Upgrade
EV/FCF Ratio,6.33,8.73,8.64,9.61,13.28,14.99,24.85,20.64,11.26,7.90,8.51,Upgrade
Debt / Equity Ratio,0.71,0.99,0.80,0.67,0.89,1.50,1.57,1.87,1.85,1.80,2.36,Upgrade
Debt / EBITDA Ratio,3.52,4.83,4.21,4.35,5.00,8.46,12.70,10.86,10.98,13.68,22.04,Upgrade
Debt / FCF Ratio,3.63,4.90,4.20,4.84,5.88,9.67,13.30,11.14,7.78,5.98,6.88,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,Upgrade
Return on Equity (ROE),15.60%,15.40%,14.30%,11.70%,13.30%,13.20%,6.40%,11.40%,11.50%,8.70%,6.70%,Upgrade
Return on Assets (ROA),1.40%,1.40%,1.30%,1.10%,1.40%,1.30%,0.60%,1.10%,1.10%,0.70%,0.50%,Upgrade
Return on Capital (ROIC),1.70%,1.70%,1.70%,1.30%,1.60%,1.50%,1.00%,1.30%,1.30%,1.00%,0.70%,Upgrade
Earnings Yield,20.48%,16.45%,12.65%,10.93%,9.43%,11.65%,3.64%,5.87%,12.49%,11.92%,9.88%,Upgrade
FCF Yield,27.19%,22.44%,17.56%,13.67%,11.05%,14.15%,7.26%,8.86%,26.60%,44.72%,51.71%,Upgrade
Dividend Yield,4.21%,3.05%,2.55%,3.08%,2.18%,2.74%,1.67%,1.45%,2.69%,-,-,Upgrade
Payout Ratio,18.20%,18.50%,20.10%,28.10%,23.10%,23.30%,44.00%,24.70%,20.50%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.14%,1.71%,-0.16%,-4.09%,0.01%,-0.37%,-16.10%,1.32%,-45.41%,-0.12%,-0.34%,Upgrade
Total Shareholder Return,4.14%,4.77%,2.39%,-1.01%,2.19%,2.38%,-14.43%,2.78%,-42.72%,-0.12%,-0.34%,Upgrade
