Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,98,109,127,108,164,134,123,105,93,87,-
Market Cap Growth,-,-14.40%,18.03%,-34.04%,22.06%,9.40%,16.25%,13.05%,6.92%,-,-
Enterprise Value,9,28,65,-4,128,132,166,146,142,137,3
PE Ratio,7.96,9.70,11.02,-10.15,11.43,19.02,17.66,13.92,11.08,20.34,-
PS Ratio,1.93,2.23,2.22,2.28,3.21,3.09,3.51,3.06,2.68,3.85,-
PB Ratio,0.84,0.99,0.96,0.80,1.08,0.98,1.32,1.18,1.07,1.07,-
P/FCF Ratio,5.39,7.73,11.07,7.84,9.19,14.53,15.81,13.14,1.83,-9.82,-
P/OCF Ratio,5.39,7.71,9.77,7.67,9.16,9.82,10.57,9.98,1.81,-36.35,-
EV/Sales Ratio,0.18,0.57,1.12,-0.08,2.51,3.03,4.75,4.24,4.09,6.05,0.16
EV/EBITDA Ratio,0.51,1.68,3.78,0.64,6.48,11.33,13.49,10.61,9.87,20.61,0.49
EV/EBIT Ratio,0.60,2.00,4.40,0.41,7.98,15.34,16.92,13.68,12.01,23.28,0.55
EV/FCF Ratio,0.51,1.99,5.62,-0.28,7.19,14.28,21.41,18.21,2.79,-15.45,0.38
Debt / Equity Ratio,0.13,0.21,0.43,0.36,0.29,0.37,0.69,0.62,0.70,0.75,0.43
Debt / EBITDA Ratio,0.81,1.35,3.32,-8.11,2.25,4.38,5.20,3.99,4.19,9.28,3.21
Debt / FCF Ratio,0.81,1.61,4.94,3.56,2.50,5.52,8.26,6.85,1.19,-6.95,2.48
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,-
Return on Equity (ROE),11.00%,9.90%,8.70%,-7.40%,9.80%,5.70%,7.50%,8.50%,9.90%,6.80%,-
Return on Assets (ROA),0.90%,0.80%,0.80%,-0.80%,1.10%,0.60%,0.80%,0.90%,1.00%,0.60%,-
Return on Capital (ROIC),1.20%,1.10%,1.10%,-0.70%,1.30%,0.70%,1.10%,1.20%,1.40%,0.80%,-
Earnings Yield,12.59%,10.31%,9.08%,-9.85%,8.75%,5.26%,5.66%,7.19%,9.02%,4.92%,-
FCF Yield,18.55%,12.94%,9.03%,12.76%,10.88%,6.88%,6.33%,7.61%,54.61%,-10.19%,-
Dividend Yield,5.11%,4.53%,4.06%,4.81%,3.19%,3.34%,2.95%,3.41%,3.71%,0.63%,-
Payout Ratio,40.20%,43.80%,44.70%,-48.70%,36.40%,62.70%,51.80%,47.30%,41.10%,12.90%,48.60%
Buyback Yield / Dilution,2.01%,4.51%,0.25%,0.78%,-8.30%,-22.40%,-0.59%,-0.35%,-54.52%,-6.34%,-0.06%
Total Shareholder Return,7.12%,9.04%,4.31%,5.58%,-5.11%,-19.06%,2.36%,3.06%,-50.82%,-5.70%,-0.06%
