Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"3,730","5,462","6,966","4,784","5,745","3,723","5,730","5,024","4,229","3,700","3,500",Upgrade
Market Cap Growth,-,-21.59%,45.59%,-16.71%,54.30%,-35.02%,14.04%,18.80%,14.30%,5.70%,81.63%,Upgrade
Enterprise Value,"5,960","8,344","5,424","1,962","8,631","5,124","6,664","6,404","5,378","4,747","4,543",Upgrade
PE Ratio,4.95,7.54,9.58,14.05,10.62,9.07,21.60,21.24,19.59,20.00,29.52,Upgrade
PS Ratio,1.68,2.57,3.33,2.88,3.08,2.70,4.40,4.39,3.93,3.53,3.52,Upgrade
PB Ratio,0.78,1.22,1.32,0.93,1.16,1.19,1.94,1.72,1.41,1.22,1.19,Upgrade
P/FCF Ratio,2.80,4.70,9.07,-366.07,10.26,7.68,9.88,11.64,10.15,10.61,6.07,Upgrade
P/OCF Ratio,2.73,4.58,8.77,280.91,9.25,6.92,9.08,10.78,9.50,9.55,5.78,Upgrade
EV/Sales Ratio,2.69,3.93,2.60,1.18,4.63,3.72,5.12,5.60,5.00,4.53,4.57,Upgrade
EV/EBITDA Ratio,5.56,8.07,4.92,3.54,11.16,8.50,12.36,14.34,12.95,13.28,14.56,Upgrade
EV/EBIT Ratio,5.90,8.65,5.48,4.05,11.28,9.36,13.88,16.49,15.00,15.69,17.98,Upgrade
EV/FCF Ratio,4.48,7.18,7.06,-150.11,15.42,10.57,11.49,14.84,12.91,13.62,7.88,Upgrade
Debt / Equity Ratio,1.17,1.09,0.28,0.28,0.82,0.81,0.63,0.79,0.79,0.75,0.74,Upgrade
Debt / EBITDA Ratio,5.22,4.70,1.33,2.58,5.27,4.22,3.46,5.20,5.69,6.34,6.99,Upgrade
Debt / FCF Ratio,4.20,4.18,1.91,-109.44,7.28,5.25,3.22,5.38,5.67,6.50,3.78,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),16.70%,16.00%,13.90%,6.70%,11.30%,13.40%,8.90%,8.10%,7.20%,6.10%,3.60%,Upgrade
Return on Assets (ROA),1.30%,1.20%,1.30%,0.60%,1.10%,1.30%,0.90%,0.80%,0.80%,0.70%,0.50%,Upgrade
Return on Capital (ROIC),1.70%,1.60%,1.80%,0.90%,1.50%,1.70%,1.50%,1.30%,1.20%,1.10%,0.90%,Upgrade
Earnings Yield,20.26%,13.27%,10.44%,7.12%,9.42%,11.03%,4.63%,4.71%,5.10%,5.00%,3.39%,Upgrade
FCF Yield,35.67%,21.26%,11.03%,-0.27%,9.75%,13.02%,10.12%,8.59%,9.85%,9.42%,16.47%,Upgrade
Dividend Yield,5.48%,3.65%,2.81%,4.09%,3.26%,3.18%,1.28%,1.20%,1.32%,1.17%,1.07%,Upgrade
Payout Ratio,26.90%,27.30%,26.70%,57.10%,34.30%,28.70%,27.40%,25.30%,25.80%,23.10%,30.10%,Upgrade
Buyback Yield / Dilution,-0.04%,1.36%,-0.19%,5.03%,-31.83%,2.98%,2.45%,6.10%,4.28%,-3.67%,-3.24%,Upgrade
Total Shareholder Return,5.44%,5.00%,2.62%,9.12%,-28.57%,6.16%,3.73%,7.29%,5.60%,-2.51%,-2.17%,Upgrade
