Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,101,153,203,160,195,168,190,165,163,-,-
Market Cap Growth,-,-24.54%,26.85%,-17.96%,15.87%,-11.82%,15.33%,1.09%,-,-,-
Enterprise Value,345,394,197,206,260,279,245,224,209,87,78
PE Ratio,5.73,9.77,13.14,15.44,21.59,23.64,37.22,41.37,-32.09,-,-
PS Ratio,1.30,1.94,2.79,2.92,4.40,4.04,5.21,4.95,5.92,-,-
PB Ratio,0.63,0.95,1.06,0.86,1.10,0.98,1.07,0.87,0.86,-,-
P/FCF Ratio,5.92,11.77,22.17,13.96,14.24,16.00,1064.06,19.38,-66.98,-,-
P/OCF Ratio,5.35,9.61,13.36,12.04,13.81,12.59,167.81,15.61,-139.27,-,-
EV/Sales Ratio,4.32,5.01,2.71,3.75,5.88,6.72,6.69,6.72,7.58,3.42,3.24
EV/EBITDA Ratio,16.01,19.17,9.82,14.02,20.50,27.22,29.66,32.83,-49.89,17.94,16.60
EV/EBIT Ratio,17.71,21.30,10.58,15.46,23.44,32.17,36.10,41.15,-38.45,25.59,28.38
EV/FCF Ratio,19.65,30.33,21.55,17.97,19.01,26.61,1367.29,26.31,-85.81,53.80,7.59
Debt / Equity Ratio,2.33,1.77,0.63,0.60,0.65,0.80,0.44,0.43,0.48,1.31,1.28
Debt / EBITDA Ratio,17.71,13.96,6.00,7.57,9.00,13.41,9.52,11.97,-21.68,21.85,21.49
Debt / FCF Ratio,21.74,22.08,13.18,9.71,8.34,13.11,438.94,9.59,-37.30,65.50,9.84
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,-
Return on Equity (ROE),10.10%,9.40%,8.20%,5.80%,5.10%,4.10%,2.80%,2.10%,-3.70%,3.30%,-
Return on Assets (ROA),0.80%,0.80%,0.80%,0.70%,0.70%,0.60%,0.50%,0.40%,-0.60%,0.30%,-
Return on Capital (ROIC),0.90%,0.80%,1.00%,0.80%,0.80%,0.70%,0.60%,0.50%,-0.60%,0.40%,-
Earnings Yield,15.75%,10.24%,7.61%,6.48%,4.63%,4.23%,2.69%,2.42%,-3.12%,-,-
FCF Yield,16.89%,8.50%,4.51%,7.16%,7.02%,6.25%,0.09%,5.16%,-1.49%,-,-
Dividend Yield,2.65%,1.82%,1.24%,1.35%,0.72%,0.20%,-,-,-,-,-
Payout Ratio,15.60%,16.40%,15.30%,19.60%,14.10%,4.30%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,3.32%,0.77%,2.03%,4.66%,5.22%,6.23%,6.83%,1.05%,-,-,-
Total Shareholder Return,6.03%,2.59%,3.27%,6.01%,5.94%,6.43%,6.83%,1.05%,-,-,-
