Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1985
Market Capitalization,"3,224","4,525","3,582","1,692","1,840","1,661","2,483","2,925","2,300","2,154","2,417",Upgrade
Market Cap Growth,-,26.33%,111.76%,-8.08%,10.82%,-33.12%,-15.12%,27.22%,6.75%,-10.86%,77.26%,Upgrade
Enterprise Value,"-7,155","6,090","2,770","1,576","1,809","1,334","3,317","3,337","2,257","1,902","2,001",Upgrade
PE Ratio,7.15,9.77,18.36,7.42,7.86,7.50,16.23,22.04,18.04,18.45,25.68,Upgrade
PS Ratio,1.75,2.45,3.03,1.65,1.98,1.94,3.35,3.99,3.22,3.14,3.59,Upgrade
PB Ratio,0.75,1.05,0.68,0.60,0.69,0.75,1.45,1.70,1.39,1.34,1.60,Upgrade
P/FCF Ratio,3.89,5.46,3.26,9.91,9.97,9.03,17.11,24.71,22.35,17.24,13.56,Upgrade
P/OCF Ratio,3.49,4.90,3.05,7.47,7.68,7.43,13.73,20.39,17.25,15.16,11.86,Upgrade
EV/Sales Ratio,3.29,3.30,2.34,1.53,1.94,1.56,4.47,4.56,3.16,2.77,2.97,Upgrade
EV/EBITDA Ratio,5.70,5.72,5.55,3.59,3.90,3.53,11.03,13.07,9.19,8.17,9.45,Upgrade
EV/EBIT Ratio,7.50,7.53,8.57,3.98,4.26,3.89,12.26,14.76,10.47,9.46,10.98,Upgrade
EV/FCF Ratio,7.32,7.35,2.52,9.24,9.80,7.26,22.86,28.19,21.93,15.22,11.23,Upgrade
Debt / Equity Ratio,10.28,10.28,8.08,7.53,6.84,7.16,7.93,7.54,7.34,7.30,7.61,Upgrade
Debt / EBITDA Ratio,3.35,3.35,0.97,0.69,0.65,0.02,3.51,2.49,0.63,0.45,0.53,Upgrade
Debt / FCF Ratio,4.30,4.30,0.44,1.77,1.63,0.03,7.27,5.36,1.51,0.84,0.63,Upgrade
Current Ratio,4.50,4.50,0,620.55,322.68,0,11.49,120.49,170.52,1528.77,0,Upgrade
Asset Turnover,0.04,0.04,0.02,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),2.27%,10.74%,3.72%,8.08%,8.72%,10.03%,8.93%,7.70%,7.70%,7.27%,6.22%,Upgrade
Return on Assets (ROA),0.20%,0.95%,0.41%,0.95%,1.11%,1.23%,1.00%,0.90%,0.92%,0.88%,0.72%,Upgrade
Return on Capital (ROIC),0.42%,1.40%,0.57%,1.35%,1.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Earnings Yield,14.37%,10.24%,5.45%,13.48%,12.73%,13.33%,6.16%,4.54%,5.54%,5.42%,3.89%,Upgrade
FCF Yield,25.70%,18.31%,30.72%,10.09%,10.03%,11.07%,5.84%,4.05%,4.47%,5.80%,7.38%,Upgrade
Dividend Yield,5.07%,3.76%,3.04%,5.08%,3.95%,3.71%,1.95%,1.45%,1.45%,1.11%,0.47%,Upgrade
Payout Ratio,148.51%,36.76%,55.72%,37.69%,31.06%,27.81%,31.60%,31.88%,26.17%,20.54%,12.09%,Upgrade
Buyback Yield / Dilution,-69.69%,-52.90%,-16.81%,-1.47%,-2.70%,-8.04%,2.86%,1.46%,0.65%,-1.50%,-1.30%,Upgrade
Total Shareholder Return,-64.62%,-49.13%,-13.77%,3.61%,1.25%,-4.34%,4.81%,2.91%,2.10%,-0.38%,-0.82%,Upgrade
