Year,Current,2022,2021,2020
Market Capitalization,131,431,422,325
Market Cap Growth,-,2.20%,29.77%,-
Enterprise Value,131,431,422,324
PE Ratio,30.76,31.23,21.83,-30.48
PB Ratio,-35.52,-35.52,-14.71,-6.77
P/FCF Ratio,-298.13,-298.13,-324.66,-587.25
P/OCF Ratio,-298.13,-298.13,-324.66,-587.25
EV/EBITDA Ratio,8.89,29.27,21.84,-30.39
EV/EBIT Ratio,8.89,29.27,21.84,-30.39
EV/FCF Ratio,-298.44,-298.44,-324.85,-585.46
Debt / Equity Ratio,-0.04,-0.04,-0.01,-
Debt / EBITDA Ratio,0.03,0.03,0.01,-
Debt / FCF Ratio,-0.33,-0.33,-0.20,-
Current Ratio,0.05,0.05,0.80,-
Return on Equity (ROE),-89.90%,-89.90%,-164.70%,-
Return on Assets (ROA),5.10%,5.10%,5.60%,-
Return on Capital (ROIC),5.50%,5.50%,5.60%,-
Earnings Yield,10.58%,3.20%,4.58%,-3.28%
FCF Yield,-1.11%,-0.34%,-0.31%,-0.17%
Buyback Yield / Dilution,2.12%,2.12%,-323.03%,-
Total Shareholder Return,2.12%,2.12%,-323.03%,-
