Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Market Capitalization,"4,127","4,649","3,990","3,217","3,280","2,826","4,037","3,900","2,841","2,172","2,429",Upgrade
Market Cap Growth,-,16.51%,24.00%,-1.91%,16.08%,-30.01%,3.52%,37.29%,30.80%,-10.60%,162.82%,Upgrade
Enterprise Value,"4,668","5,145","1,251","2,893","3,929","4,152","5,192","5,169","4,179","2,994","2,832",Upgrade
PE Ratio,11.97,15.23,12.51,15.00,11.33,9.41,29.89,22.02,20.56,19.21,36.52,Upgrade
PS Ratio,4.32,5.34,5.58,5.69,4.96,4.28,7.90,8.22,7.17,6.40,10.22,Upgrade
PB Ratio,1.14,1.32,1.44,1.24,1.31,1.20,1.83,2.94,2.37,2.14,2.89,Upgrade
P/FCF Ratio,9.55,11.50,10.52,11.48,14.11,9.55,29.93,22.59,14.60,8.85,24.22,Upgrade
P/OCF Ratio,9.34,11.25,10.25,11.03,13.26,9.30,28.82,22.20,13.85,8.85,21.49,Upgrade
EV/Sales Ratio,4.88,5.91,1.75,5.12,5.94,6.30,10.16,10.90,10.55,8.83,11.91,Upgrade
EV/EBITDA Ratio,9.78,12.07,2.87,9.71,9.70,10.01,18.04,17.39,18.26,15.99,25.35,Upgrade
EV/EBIT Ratio,10.55,13.04,3.00,10.42,10.19,10.50,19.15,18.29,19.12,16.90,27.11,Upgrade
EV/FCF Ratio,10.80,12.73,3.30,10.33,16.90,14.03,38.49,29.95,21.48,12.21,28.23,Upgrade
Debt / Equity Ratio,0.34,0.35,0.33,0.36,0.45,0.84,0.82,1.12,1.33,0.92,0.68,Upgrade
Debt / EBITDA Ratio,2.58,2.86,2.09,3.15,2.81,4.79,6.31,5.00,6.97,4.99,5.13,Upgrade
Debt / FCF Ratio,2.84,3.02,2.41,3.35,4.90,6.71,13.46,8.62,8.20,3.81,5.71,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),9.70%,9.30%,11.80%,8.50%,11.90%,13.00%,7.40%,13.80%,12.60%,12.10%,10.90%,Upgrade
Return on Assets (ROA),1.50%,1.40%,1.80%,1.30%,1.90%,2.00%,1.10%,1.80%,1.70%,1.60%,1.40%,Upgrade
Return on Capital (ROIC),2.10%,2.00%,2.90%,1.80%,2.60%,2.60%,2.10%,2.70%,2.40%,2.40%,2.20%,Upgrade
Earnings Yield,8.32%,6.57%,8.00%,6.67%,8.83%,10.63%,3.35%,4.54%,4.86%,5.21%,2.74%,Upgrade
FCF Yield,10.47%,8.69%,9.50%,8.71%,7.09%,10.47%,3.34%,4.43%,6.85%,11.30%,4.13%,Upgrade
Dividend Yield,3.39%,2.90%,2.30%,2.72%,2.59%,2.82%,1.72%,1.23%,1.36%,1.09%,0.78%,Upgrade
Payout Ratio,39.70%,42.00%,28.90%,40.80%,29.50%,26.60%,44.40%,27.10%,27.20%,20.30%,25.20%,Upgrade
Buyback Yield / Dilution,-24.23%,-24.49%,0.80%,1.00%,3.52%,0.41%,-23.64%,-0.16%,-3.81%,-3.83%,-16.18%,Upgrade
Total Shareholder Return,-20.84%,-21.59%,3.10%,3.72%,6.12%,3.22%,-21.92%,1.07%,-2.46%,-2.74%,-15.40%,Upgrade
