Year,Current,2022,2021,2020,2019
Market Capitalization,441,167,"1,150",-,-
Market Cap Growth,-,-85.50%,-,-,-
Enterprise Value,201,30,819,-68,-3
PE Ratio,-2.96,-0.94,-20.24,-,-
PS Ratio,5.14,1.52,8.47,-,-
PB Ratio,1.27,0.65,2.60,-,-
P/FCF Ratio,-4.24,-1.28,-4.67,-,-
P/OCF Ratio,-6.55,-2.18,-18.34,-,-
EV/Sales Ratio,2.39,0.28,6.03,-2.12,-0.05
EV/EBITDA Ratio,-2.75,-0.32,-24.70,-3.12,-0.11
EV/EBIT Ratio,-1.39,-0.19,-15.95,-13.41,-0.61
EV/FCF Ratio,-1.83,-0.23,-3.33,14.49,-0.88
Debt / Equity Ratio,0.10,0.13,0.07,0.22,0.61
Debt / EBITDA Ratio,-0.55,-0.36,-0.96,0.93,0.65
Debt / FCF Ratio,-0.36,-0.27,-0.13,-4.32,5.45
Current Ratio,9.85,8.15,17.96,3.55,3.50
Asset Turnover,0.22,0.26,0.34,0.38,-
Return on Equity (ROE),-41.60%,-48.40%,-15.60%,24.10%,-
Return on Assets (ROA),-36.40%,-42.20%,-14.00%,17.60%,-
Return on Capital (ROIC),-35.70%,-42.40%,-16.80%,5.90%,-
Earnings Yield,-31.79%,-106.27%,-4.94%,-,-
FCF Yield,-22.24%,-78.11%,-21.42%,-,-
Buyback Yield / Dilution,-29.62%,-33.94%,-56.11%,-4.01%,-
Total Shareholder Return,-29.62%,-33.94%,-56.11%,-4.01%,-
