Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,478,603,795,561,749,-,-
Market Cap Growth,-,-24.09%,41.66%,-25.13%,-,-,-
Enterprise Value,547,557,550,449,937,173,228
PE Ratio,7.99,9.80,11.45,44.53,26.32,-,-
PS Ratio,2.29,3.03,4.26,4.87,6.23,-,-
PB Ratio,0.74,0.99,1.19,0.90,1.25,-,-
P/FCF Ratio,5.55,7.74,9.06,7.53,9.82,-,-
P/OCF Ratio,5.30,7.51,8.99,6.97,10.15,-,-
EV/Sales Ratio,2.62,2.79,2.95,3.89,7.79,1.68,3.43
EV/EBITDA Ratio,6.58,6.72,5.96,21.82,24.70,7.90,30.52
EV/EBIT Ratio,7.13,7.18,6.32,29.30,28.72,10.05,51.69
EV/FCF Ratio,6.35,7.14,6.26,6.02,12.28,35.40,36.04
Debt / Equity Ratio,0.51,0.42,0.36,0.47,0.62,0.79,1.25
Debt / EBITDA Ratio,4.00,3.06,2.58,14.41,9.88,17.80,48.05
Debt / FCF Ratio,3.86,3.25,2.71,3.98,4.91,79.77,56.73
Asset Turnover,0.03,0.03,0.03,0.02,0.03,0.03,-
Return on Equity (ROE),10.00%,10.20%,10.70%,2.00%,5.20%,5.00%,-
Return on Assets (ROA),1.00%,1.00%,1.20%,0.20%,0.60%,0.60%,-
Return on Capital (ROIC),1.20%,1.30%,1.60%,0.30%,0.70%,0.50%,-
Earnings Yield,12.74%,10.21%,8.73%,2.25%,3.80%,-,-
FCF Yield,18.01%,12.92%,11.04%,13.27%,10.18%,-,-
Buyback Yield / Dilution,3.41%,4.52%,2.45%,-0.44%,-1.67%,-,-
Total Shareholder Return,3.41%,4.52%,2.45%,-0.44%,-1.67%,-,-
