Year,Current,2022
Market Capitalization,152,148
Enterprise Value,152,147
PE Ratio,117.76,150.65
PB Ratio,-41.75,-41.75
P/FCF Ratio,-281.97,-281.97
P/OCF Ratio,-281.97,-281.97
EV/EBITDA Ratio,154.24,150.00
EV/EBIT Ratio,154.24,150.00
EV/FCF Ratio,-280.75,-280.75
Current Ratio,2.27,2.27
Return on Equity (ROE),-39.50%,-39.50%
Return on Assets (ROA),1.10%,1.10%
Return on Capital (ROIC),1.10%,1.10%
Earnings Yield,0.65%,0.66%
FCF Yield,-0.34%,-0.35%
Buyback Yield / Dilution,-317.53%,-
Total Shareholder Return,-317.53%,-
