Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,225,273,"1,635","3,593","3,944","2,817","4,075","1,195","1,030",548,366,Upgrade
Market Cap Growth,-,-83.32%,-54.49%,-8.91%,40.04%,-30.88%,241.02%,15.97%,88.18%,49.67%,78.50%,Upgrade
Enterprise Value,785,878,"2,124","4,127","4,245","3,087","3,940","1,100",817,443,248,Upgrade
PE Ratio,-2.09,-1.45,23.66,-74.46,221.25,29.19,261.57,43.46,21.44,58.48,92.68,Upgrade
PS Ratio,0.24,0.28,1.49,3.95,3.56,3.68,6.60,3.11,4.05,3.27,2.63,Upgrade
PB Ratio,0.95,1.31,3.65,9.85,9.80,8.14,13.82,5.16,4.27,5.68,4.20,Upgrade
P/FCF Ratio,6.17,8.65,16.43,-1003.59,26.66,29.40,44.93,54.17,39.15,-125.46,90.04,Upgrade
P/OCF Ratio,4.77,6.35,12.15,93.15,27.41,25.44,41.27,22.12,30.71,-1077.79,53.69,Upgrade
EV/Sales Ratio,0.87,0.89,1.93,4.53,3.84,4.04,6.38,2.86,3.21,2.64,1.78,Upgrade
EV/EBITDA Ratio,-15356.97,58.79,10.58,93.25,44.18,41.60,80.46,20.14,28.76,36.10,34.65,Upgrade
EV/EBIT Ratio,-24.38,-30.36,16.69,-129.29,143.31,71.20,136.36,22.71,32.35,49.84,70.63,Upgrade
EV/FCF Ratio,21.98,27.85,21.34,-1152.67,28.69,32.23,43.45,49.86,31.04,-101.42,61.07,Upgrade
Debt / Equity Ratio,3.09,4.35,1.65,1.93,0.90,1.09,0.81,-,-,-,-,Upgrade
Debt / EBITDA Ratio,-12110.86,60.55,3.69,15.90,3.75,5.07,4.86,-,-,-,-,Upgrade
Debt / FCF Ratio,20.02,28.68,7.44,-196.59,2.44,3.92,2.63,-,-,-,-,Upgrade
Current Ratio,2.85,5.02,1.36,2.65,0.82,0.89,2.97,2.11,4.55,3.10,2.21,Upgrade
Asset Turnover,0.75,0.78,0.86,0.81,1.14,1.00,1.04,1.35,1.31,1.16,0.93,Upgrade
Return on Equity (ROE),-65.70%,-68.00%,16.30%,-12.40%,4.70%,27.60%,5.50%,12.60%,34.20%,11.20%,4.60%,Upgrade
Return on Assets (ROA),-13.60%,-14.80%,5.40%,-4.30%,1.80%,12.60%,2.60%,9.70%,24.80%,6.50%,2.60%,Upgrade
Return on Capital (ROIC),-3.00%,-2.30%,12.30%,-4.10%,7.70%,13.00%,15.70%,183.50%,-258.50%,-25.60%,-9.90%,Upgrade
Earnings Yield,-74.35%,-68.92%,4.23%,-1.34%,0.45%,3.43%,0.38%,2.30%,4.66%,1.71%,1.08%,Upgrade
FCF Yield,16.22%,11.56%,6.09%,-0.10%,3.75%,3.40%,2.23%,1.85%,2.55%,-0.80%,1.11%,Upgrade
Buyback Yield / Dilution,-0.26%,6.59%,-5.29%,11.03%,-3.70%,-3.03%,-7.12%,-1.85%,-12.09%,-1.39%,-3.18%,Upgrade
Total Shareholder Return,-0.26%,6.59%,-5.29%,11.03%,-3.70%,-3.03%,-7.12%,-1.85%,-12.09%,-1.39%,-3.18%,Upgrade
