Year,Current,2022,2021
Market Capitalization,74,251,242
Market Cap Growth,-,3.72%,-
Enterprise Value,-108,250,240
PE Ratio,337.00,24.86,54.53
PB Ratio,-18.93,-40.46,-17.15
P/FCF Ratio,-186.87,-204.86,-265.24
P/OCF Ratio,-186.87,-204.86,-265.24
EV/EBITDA Ratio,38.72,23.42,54.05
EV/EBIT Ratio,38.72,23.42,54.05
EV/FCF Ratio,-53.96,-203.98,-262.90
Current Ratio,0.99,1.44,9.36
Return on Equity (ROE),-10.50%,-128.10%,-
Return on Assets (ROA),0.40%,5.00%,-
Return on Capital (ROIC),1.20%,5.30%,-
Earnings Yield,1.23%,4.02%,1.83%
FCF Yield,-1.85%,-0.49%,-0.38%
Buyback Yield / Dilution,1.58%,-137.02%,-
Total Shareholder Return,1.58%,-137.02%,-
