Year,Current,2022,2021,2020
Market Capitalization,79,192,185,-
Market Cap Growth,-,3.53%,-,-
Enterprise Value,82,194,186,0
PE Ratio,25.90,25.95,40.41,-
PB Ratio,-23.34,-23.34,-13.80,-
P/FCF Ratio,-134.36,-134.36,-84.96,-
P/OCF Ratio,-134.36,-134.36,-84.96,-
EV/EBITDA Ratio,10.50,24.96,40.58,-111.18
EV/EBIT Ratio,10.50,24.96,40.58,-111.18
EV/FCF Ratio,-135.93,-135.93,-85.33,-171.62
Debt / Equity Ratio,-0.27,-0.27,-0.07,5.96
Debt / EBITDA Ratio,0.29,0.29,0.22,-111.20
Debt / FCF Ratio,-1.57,-1.57,-0.46,-171.66
Current Ratio,0,0,0.17,0
Return on Equity (ROE),-87.20%,-87.20%,-112.90%,-
Return on Assets (ROA),4.80%,4.80%,3.00%,-
Return on Capital (ROIC),5.10%,5.10%,3.00%,-
Earnings Yield,9.31%,3.85%,2.47%,-
FCF Yield,-1.80%,-0.74%,-1.18%,-
Buyback Yield / Dilution,-4.58%,-4.58%,-449.79%,-
Total Shareholder Return,-4.58%,-4.58%,-449.79%,-
