Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"2,621","2,842","2,686","2,369","2,808","2,276","2,623","2,691","1,706","1,767","1,772",Upgrade
Market Cap Growth,-,5.81%,13.39%,-15.63%,23.39%,-13.24%,-2.53%,57.77%,-3.49%,-0.23%,45.68%,Upgrade
Enterprise Value,"1,955","1,331",487,"1,371","3,549","3,055","4,067","3,821","2,928","3,620","3,869",Upgrade
PE Ratio,7.56,9.47,10.58,14.16,13.69,10.54,16.66,20.10,12.48,11.54,14.02,Upgrade
PS Ratio,3.65,4.35,4.59,4.80,4.93,3.98,5.09,5.53,3.53,3.46,3.73,Upgrade
PB Ratio,1.22,1.39,1.16,1.09,1.33,1.17,1.43,1.56,1.02,1.12,1.24,Upgrade
P/FCF Ratio,5.99,7.44,9.18,7.91,9.89,10.68,14.20,16.01,9.06,11.70,10.96,Upgrade
P/OCF Ratio,5.81,7.33,9.21,7.76,9.01,9.90,13.33,13.24,8.38,9.16,8.47,Upgrade
EV/Sales Ratio,2.72,2.04,0.83,2.78,6.23,5.34,7.89,7.85,6.05,7.08,8.14,Upgrade
EV/EBITDA Ratio,4.20,3.29,1.40,5.71,12.31,10.24,16.47,17.23,12.63,14.25,18.55,Upgrade
EV/EBIT Ratio,4.41,3.48,1.51,6.47,13.65,11.21,18.35,19.40,14.15,15.74,21.19,Upgrade
EV/FCF Ratio,4.47,3.48,1.66,4.58,12.50,14.34,22.02,22.73,15.55,23.96,23.93,Upgrade
Debt / Equity Ratio,0.25,0.28,0.44,0.46,0.47,0.57,0.93,0.81,0.90,1.33,1.67,Upgrade
Debt / EBITDA Ratio,1.14,1.43,2.91,4.16,3.46,3.67,6.92,6.31,6.45,8.30,11.37,Upgrade
Debt / FCF Ratio,1.21,1.51,3.45,3.34,3.52,5.15,9.26,8.32,7.94,13.95,14.67,Upgrade
Asset Turnover,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),16.90%,14.60%,11.20%,7.80%,10.00%,11.50%,8.70%,7.70%,8.30%,10.00%,8.90%,Upgrade
Return on Assets (ROA),2.20%,1.90%,1.60%,1.30%,1.70%,1.80%,1.30%,1.10%,1.10%,1.30%,1.10%,Upgrade
Return on Capital (ROIC),3.20%,2.80%,2.30%,1.60%,2.10%,2.20%,1.70%,1.50%,1.60%,1.70%,1.40%,Upgrade
Earnings Yield,13.29%,10.56%,9.45%,7.06%,7.30%,9.49%,6.00%,4.98%,8.02%,8.67%,7.13%,Upgrade
FCF Yield,16.69%,13.45%,10.90%,12.63%,10.11%,9.36%,7.04%,6.24%,11.04%,8.55%,9.12%,Upgrade
Dividend Yield,2.92%,2.65%,2.72%,2.96%,2.46%,2.20%,1.68%,1.48%,2.27%,1.97%,1.63%,Upgrade
Payout Ratio,22.00%,25.10%,28.70%,41.80%,33.50%,22.90%,27.70%,29.60%,28.20%,22.70%,22.90%,Upgrade
Buyback Yield / Dilution,1.91%,1.07%,0.57%,2.79%,1.42%,0.22%,-0.70%,0.48%,0.63%,0.38%,-0.00%,Upgrade
Total Shareholder Return,4.83%,3.72%,3.29%,5.75%,3.88%,2.41%,0.98%,1.96%,2.89%,2.36%,1.63%,Upgrade
