Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,"2,524","2,364","3,765","3,955","2,515","1,701","2,985","2,213","2,647","3,685","4,582",Upgrade
Market Cap Growth,-,-37.21%,-4.80%,57.30%,47.81%,-43.01%,34.86%,-16.38%,-28.17%,-19.57%,-,Upgrade
Enterprise Value,"2,708","2,541","3,864","4,048","2,671","1,735","3,031","2,260","2,683","3,705","4,553",Upgrade
PE Ratio,11.41,11.44,11.19,18.60,16.06,10.75,60.18,30.31,32.36,52.92,184.70,Upgrade
PS Ratio,2.71,2.38,3.07,4.40,3.15,2.05,3.75,3.07,3.29,4.45,6.68,Upgrade
PB Ratio,10.04,9.02,13.63,21.92,18.91,12.60,27.16,16.81,20.36,33.24,104.66,Upgrade
P/FCF Ratio,11.48,8.07,9.59,12.53,9.14,5.32,13.56,8.41,8.43,10.78,42.05,Upgrade
P/OCF Ratio,10.60,7.56,9.45,12.41,8.59,5.10,13.21,8.19,8.24,10.48,40.85,Upgrade
EV/Sales Ratio,2.86,2.56,3.15,4.50,3.34,2.09,3.81,3.13,3.33,4.47,6.64,Upgrade
EV/EBITDA Ratio,9.86,8.77,8.41,13.99,13.14,7.65,6.19,15.98,18.53,27.80,68.69,Upgrade
EV/EBIT Ratio,10.23,9.07,8.51,14.24,13.67,7.99,6.29,16.59,19.13,28.50,72.20,Upgrade
EV/FCF Ratio,12.12,8.67,9.84,12.83,9.71,5.43,13.77,8.59,8.55,10.84,41.78,Upgrade
Debt / Equity Ratio,1.24,1.22,1.09,1.62,2.26,1.55,1.87,1.54,1.56,1.84,4.65,Upgrade
Debt / EBITDA Ratio,1.15,1.10,0.65,1.01,1.48,0.92,0.42,1.44,1.40,1.53,3.07,Upgrade
Debt / FCF Ratio,1.42,1.09,0.76,0.93,1.09,0.66,0.93,0.77,0.65,0.60,1.87,Upgrade
Asset Turnover,0.73,0.78,0.99,0.86,0.86,0.92,0.75,0.73,0.81,0.91,1.34,Upgrade
Return on Equity (ROE),78.20%,86.60%,144.80%,153.90%,140.20%,135.50%,35.90%,58.00%,68.10%,81.90%,61.50%,Upgrade
Return on Assets (ROA),14.80%,16.10%,27.10%,20.20%,16.80%,17.70%,4.70%,7.40%,8.20%,7.60%,4.90%,Upgrade
Return on Capital (ROIC),18.20%,19.60%,35.50%,24.80%,18.10%,24.80%,45.60%,13.80%,14.10%,14.80%,13.80%,Upgrade
Earnings Yield,7.49%,8.74%,8.94%,5.38%,6.23%,9.31%,1.66%,3.30%,3.09%,1.89%,0.54%,Upgrade
FCF Yield,8.71%,12.39%,10.43%,7.98%,10.94%,18.78%,7.37%,11.89%,11.86%,9.28%,2.38%,Upgrade
Dividend Yield,8.13%,9.70%,6.73%,4.77%,6.89%,9.16%,4.13%,4.82%,3.21%,2.86%,0.26%,Upgrade
Payout Ratio,102.20%,124.80%,82.90%,99.70%,127.90%,112.30%,368.00%,178.30%,129.00%,-1035.10%,-42.20%,Upgrade
Buyback Yield / Dilution,-1.90%,-4.37%,-7.63%,-8.82%,-4.64%,-9.44%,-17.07%,-7.59%,-28.84%,-99.66%,79.23%,Upgrade
Total Shareholder Return,6.23%,5.33%,-0.90%,-4.05%,2.26%,-0.28%,-12.94%,-2.76%,-25.62%,-96.80%,79.49%,Upgrade
