Year,Current,2022,2021
Market Capitalization,30,77,74
Market Cap Growth,-,3.47%,-
Enterprise Value,31,77,73
PE Ratio,70.32,-268.16,-90.50
PB Ratio,-20.30,-22.52,-37.98
P/FCF Ratio,-116.03,-119.17,-81.02
P/OCF Ratio,-116.03,-119.17,-81.02
EV/EBITDA Ratio,27.88,-269.78,-89.58
EV/EBIT Ratio,27.88,-269.78,-89.58
EV/FCF Ratio,-117.91,-119.89,-80.19
Debt / Equity Ratio,-0.34,-0.17,-
Debt / EBITDA Ratio,1.19,-2.01,-
Debt / FCF Ratio,-1.96,-0.89,-
Current Ratio,0.03,0.17,10.16
Return on Equity (ROE),-31.60%,10.00%,83.50%
Return on Assets (ROA),2.30%,-0.50%,-2.80%
Return on Capital (ROIC),2.30%,-0.50%,-2.90%
Earnings Yield,3.74%,-0.37%,-1.11%
FCF Yield,-2.27%,-0.84%,-1.23%
Buyback Yield / Dilution,5.75%,-122.61%,-171.91%
Total Shareholder Return,5.75%,-122.61%,-171.91%
