Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"2,843","4,147","4,343","2,940","3,827","2,951","4,216","3,343","1,948","2,504","3,012",Upgrade
Market Cap Growth,-,-4.52%,47.74%,-23.18%,29.68%,-30.01%,26.11%,71.63%,-22.21%,-16.85%,11.96%,Upgrade
Enterprise Value,"3,843","5,488","2,143","3,256","6,361","4,271","5,747","4,554","2,992","2,871","3,438",Upgrade
PE Ratio,5.48,7.91,9.38,-65.08,11.69,9.12,19.55,22.40,14.82,14.25,18.44,Upgrade
PS Ratio,1.98,2.94,3.16,4.43,3.29,2.69,4.21,4.18,2.47,2.95,3.37,Upgrade
PB Ratio,0.81,1.24,1.18,0.86,1.10,0.96,1.46,1.23,0.81,1.01,1.24,Upgrade
P/FCF Ratio,4.56,5.10,7.73,9.26,12.38,7.40,10.79,10.07,8.61,7.28,6.80,Upgrade
P/OCF Ratio,4.39,4.92,7.42,8.28,10.87,6.57,10.26,9.72,8.26,7.11,6.36,Upgrade
EV/Sales Ratio,2.68,3.89,1.56,4.90,5.47,3.89,5.74,5.70,3.79,3.38,3.85,Upgrade
EV/EBITDA Ratio,5.42,7.79,3.49,-43.59,14.31,9.92,16.01,19.37,13.44,9.59,12.39,Upgrade
EV/EBIT Ratio,5.80,8.33,3.77,-26.10,16.20,11.18,18.63,24.36,17.63,11.85,15.93,Upgrade
EV/FCF Ratio,6.16,6.75,3.81,10.26,20.57,10.72,14.70,13.71,13.23,8.34,7.76,Upgrade
Debt / Equity Ratio,1.10,0.67,0.55,0.63,0.89,0.59,0.70,0.61,0.79,0.62,0.43,Upgrade
Debt / EBITDA Ratio,5.47,3.16,3.31,-29.14,6.92,4.21,5.60,7.07,8.59,5.10,3.76,Upgrade
Debt / FCF Ratio,6.22,2.74,3.61,6.86,9.95,4.55,5.14,5.00,8.46,4.43,2.36,Upgrade
Asset Turnover,0.04,0.04,0.04,0.02,0.04,0.04,0.04,0.03,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),15.70%,15.70%,13.00%,-1.30%,9.70%,10.90%,7.60%,5.90%,5.40%,7.10%,6.80%,Upgrade
Return on Assets (ROA),1.50%,1.50%,1.30%,-0.10%,1.10%,1.20%,0.80%,0.60%,0.60%,0.90%,0.90%,Upgrade
Return on Capital (ROIC),1.90%,1.90%,1.70%,-0.40%,1.30%,1.30%,1.10%,0.80%,0.80%,1.20%,1.20%,Upgrade
Earnings Yield,18.54%,12.64%,10.67%,-1.54%,8.55%,10.97%,5.11%,4.47%,6.75%,7.02%,5.42%,Upgrade
FCF Yield,21.95%,19.60%,12.94%,10.79%,8.08%,13.50%,9.27%,9.93%,11.61%,13.75%,14.72%,Upgrade
Dividend Yield,3.36%,2.25%,2.16%,3.18%,2.44%,2.96%,1.93%,2.24%,3.86%,3.14%,2.62%,Upgrade
Payout Ratio,18.30%,18.00%,20.70%,-200.00%,29.00%,27.40%,38.60%,51.30%,58.50%,45.70%,49.70%,Upgrade
Buyback Yield / Dilution,0.75%,0.73%,-0.57%,0.08%,-1.26%,-0.66%,-9.00%,0.46%,4.54%,0.37%,3.15%,Upgrade
Total Shareholder Return,4.11%,2.98%,1.59%,3.26%,1.18%,2.30%,-7.06%,2.70%,8.40%,3.52%,5.77%,Upgrade
