Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,"58,647","57,646","79,425","50,542","70,345","64,411","77,933","64,670","57,155","74,095","71,987",Upgrade
Market Cap Growth,-,-27.42%,57.14%,-28.15%,9.21%,-17.35%,20.51%,13.15%,-22.86%,2.93%,21.50%,Upgrade
Enterprise Value,"-112,717","-96,857","-71,613","-82,661","-49,307","-45,705","-27,095","-23,901","-53,434","-46,660","-42,452",Upgrade
PE Ratio,9.09,8.24,10.49,10.06,11.23,10.09,12.77,12.42,10.85,12.05,12.20,Upgrade
PS Ratio,2.50,2.53,3.15,2.11,2.97,2.93,3.70,3.29,3.11,3.53,3.53,Upgrade
PB Ratio,1.06,1.09,1.39,0.97,1.37,1.29,1.68,1.54,1.44,1.74,1.70,Upgrade
P/FCF Ratio,6.15,4.86,-7.42,1.18,-7.55,4.85,6.06,20.72,4.63,17.86,8.57,Upgrade
P/OCF Ratio,5.88,4.70,-7.69,1.17,-7.66,4.74,6.06,19.13,4.55,16.86,8.39,Upgrade
EV/Sales Ratio,-4.56,-4.25,-2.84,-3.46,-2.08,-2.08,-1.29,-1.22,-2.91,-2.22,-2.08,Upgrade
EV/EBITDA Ratio,-10.55,-9.41,-6.34,-10.97,-5.42,-5.08,-3.24,-3.26,-7.40,-5.47,-5.13,Upgrade
EV/EBIT Ratio,-11.92,-10.55,-7.11,-13.01,-5.95,-5.48,-3.48,-3.51,-7.89,-5.79,-5.46,Upgrade
EV/FCF Ratio,-11.21,-8.16,6.69,-1.94,5.29,-3.44,-2.11,-7.66,-4.33,-11.25,-5.05,Upgrade
Debt / Equity Ratio,0.41,0.38,0.38,0.32,0.31,0.34,0.32,0.35,0.32,0.31,0.37,Upgrade
Debt / EBITDA Ratio,2.26,1.97,1.91,2.20,1.78,1.87,1.81,1.99,1.74,1.54,1.90,Upgrade
Debt / FCF Ratio,2.40,1.71,-2.02,0.39,-1.73,1.27,1.18,4.68,1.02,3.16,1.87,Upgrade
Asset Turnover,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),12.00%,13.40%,13.50%,9.70%,12.20%,13.30%,13.60%,12.90%,13.60%,14.80%,14.40%,Upgrade
Return on Assets (ROA),0.70%,0.70%,0.80%,0.60%,0.80%,0.90%,0.90%,0.80%,0.80%,0.90%,0.80%,Upgrade
Return on Capital (ROIC),1.10%,1.20%,1.30%,0.90%,1.20%,1.40%,1.30%,1.20%,1.30%,1.40%,1.30%,Upgrade
Earnings Yield,11.07%,12.14%,9.54%,9.94%,8.91%,9.91%,7.83%,8.05%,9.22%,8.30%,8.20%,Upgrade
FCF Yield,16.27%,20.58%,-13.47%,84.42%,-13.25%,20.62%,16.50%,4.83%,21.58%,5.60%,11.67%,Upgrade
Dividend Yield,6.20%,6.48%,4.36%,8.12%,5.69%,4.74%,3.61%,4.05%,4.63%,3.84%,3.88%,Upgrade
Payout Ratio,57.20%,53.70%,45.80%,81.40%,63.60%,48.30%,45.90%,50.40%,49.90%,46.50%,47.80%,Upgrade
Buyback Yield / Dilution,1.97%,1.53%,0.38%,0.89%,-2.32%,0.72%,-0.41%,1.12%,-0.65%,-2.04%,-8.73%,Upgrade
Total Shareholder Return,8.18%,8.01%,4.75%,9.01%,3.37%,5.45%,3.20%,5.17%,3.98%,1.80%,-4.85%,Upgrade
