Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,"3,988","4,440","13,863","34,639",-,-,-
Market Cap Growth,-,-67.97%,-59.98%,-,-,-,-
Enterprise Value,"2,748","2,788","11,097","31,963","-2,538","-1,613",-101
PE Ratio,2.98,3.56,5.28,18.34,-,-,-
PS Ratio,0.53,0.53,1.44,4.35,-,-,-
PB Ratio,0.33,0.33,0.95,2.78,-,-,-
P/FCF Ratio,7.05,7.11,18.35,32.75,-,-,-
P/OCF Ratio,6.88,6.95,17.79,31.81,-,-,-
EV/Sales Ratio,0.33,0.33,1.15,4.02,-0.37,-0.28,-0.02
EV/EBITDA Ratio,1.35,1.37,2.90,10.02,-0.85,-0.57,-0.06
EV/EBIT Ratio,1.35,1.37,2.90,10.02,-0.85,-0.57,-0.07
EV/FCF Ratio,4.40,4.46,14.69,30.22,-8.80,6.65,-0.30
Debt / Equity Ratio,0.63,0.63,0.51,0.36,0.30,0.44,1.19
Debt / EBITDA Ratio,4.15,4.15,1.94,1.42,0.68,0.78,2.33
Debt / FCF Ratio,13.53,13.53,9.82,4.29,7.03,-9.17,11.11
Asset Turnover,0.16,0.16,0.19,0.26,0.36,0.27,0.18
Return on Equity (ROE),9.10%,9.10%,18.60%,19.10%,32.10%,49.00%,34.30%
Return on Assets (ROA),2.40%,2.40%,5.20%,6.20%,10.00%,9.10%,3.80%
Return on Capital (ROIC),4.10%,4.10%,8.30%,12.20%,19.40%,14.80%,6.60%
Earnings Yield,28.37%,28.11%,18.94%,5.45%,-,-,-
FCF Yield,14.19%,14.06%,5.45%,3.05%,-,-,-
Dividend Yield,12.68%,12.11%,-,-,-,-,-
Payout Ratio,86.20%,86.20%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,7.06%,7.06%,-0.94%,-,-,-,-
Total Shareholder Return,19.63%,19.17%,-0.94%,-,-,-,-
