Year,Current,2022,2021,2020,2019
Market Capitalization,59,68,90,-,-
Market Cap Growth,-,-25.39%,-,-,-
Enterprise Value,-33,39,63,840,-86
PE Ratio,-139.90,-57.17,3.83,-,-
PS Ratio,0.80,1.09,1.46,-,-
PB Ratio,0.68,0.74,0.94,-,-
P/FCF Ratio,0.16,0.16,0.19,-,-
P/OCF Ratio,0.15,0.15,0.18,-,-
EV/Sales Ratio,-0.41,0.62,1.02,7.35,-1.40
EV/EBITDA Ratio,-8.23,13.27,2.20,48.84,-11.06
EV/EBIT Ratio,-15.38,32.07,2.31,53.21,-13.68
EV/FCF Ratio,-0.08,0.09,0.13,-7.57,1.88
Debt / Equity Ratio,0.41,0.41,0.86,12.59,0.48
Debt / EBITDA Ratio,9.79,12.77,2.87,52.06,3.14
Debt / FCF Ratio,0.09,0.09,0.17,-8.07,-0.53
Asset Turnover,0.08,0.07,0.05,0.11,-
Return on Equity (ROE),-0.50%,-1.30%,28.20%,19.30%,-
Return on Assets (ROA),0.00%,-0.10%,1.90%,1.10%,-
Return on Capital (ROIC),0.20%,0.10%,1.70%,1.10%,-
Earnings Yield,-0.74%,-1.75%,26.09%,-,-
FCF Yield,637.48%,640.15%,532.96%,-,-
Dividend Yield,2.21%,1.91%,-,-,-
Payout Ratio,-218.20%,-110.30%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-2.14%,-1.61%,-2.76%,-,-
Total Shareholder Return,0.07%,0.31%,-2.76%,-,-
