Year,Current,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,"6,123","5,915","4,586","3,417","2,999","2,938","2,299","1,627"
Market Cap Growth,-,28.98%,34.20%,13.94%,2.07%,27.83%,41.32%,-
Enterprise Value,"5,770","5,278","3,914","3,195","2,722","2,650","1,838","1,537"
PE Ratio,23.31,13.51,14.66,18.59,18.85,17.06,21.22,23.32
PS Ratio,3.29,2.61,3.01,2.95,2.77,3.05,2.64,2.35
PB Ratio,3.92,4.10,3.32,3.47,3.37,3.45,3.16,2.50
P/FCF Ratio,-85.27,8.13,8.11,12.80,13.79,12.10,9.67,696.30
P/OCF Ratio,-159.97,8.03,7.91,11.88,13.37,11.72,9.12,138.77
EV/Sales Ratio,3.14,2.33,2.57,2.76,2.51,2.75,2.11,2.22
EV/EBITDA Ratio,13.37,7.72,8.75,11.51,11.40,11.74,9.81,11.55
EV/EBIT Ratio,17.26,8.75,9.56,13.56,12.13,12.16,10.30,12.24
EV/FCF Ratio,-81.48,7.25,6.92,11.97,12.51,10.91,7.74,657.97
Debt / Equity Ratio,0.18,0.14,0.13,0.16,0.01,0.01,0.04,0.12
Debt / EBITDA Ratio,0.66,0.29,0.39,0.57,0.04,0.05,0.17,0.58
Debt / FCF Ratio,-4.05,0.27,0.31,0.60,0.04,0.05,0.14,32.80
Asset Turnover,0.70,0.87,0.76,0.77,0.86,0.79,0.78,0.60
Return on Equity (ROE),17.80%,30.20%,24.10%,19.80%,18.80%,21.40%,15.40%,9.50%
Return on Assets (ROA),9.90%,16.80%,15.50%,12.10%,12.60%,14.20%,9.70%,6.10%
Return on Capital (ROIC),34.80%,76.70%,53.80%,39.80%,90.80%,78.30%,85.30%,33.40%
Earnings Yield,4.30%,7.40%,6.82%,5.38%,5.31%,5.86%,4.71%,4.29%
FCF Yield,-1.16%,12.31%,12.34%,7.81%,7.25%,8.27%,10.34%,0.14%
Dividend Yield,2.38%,1.98%,1.95%,2.38%,2.37%,1.81%,2.06%,1.17%
Payout Ratio,49.30%,25.50%,27.40%,41.90%,42.20%,29.00%,40.10%,25.40%
Buyback Yield / Dilution,-2.12%,0.60%,-4.48%,0.18%,0.72%,0.38%,-4.89%,-5.56%
Total Shareholder Return,0.29%,2.58%,-2.54%,2.57%,3.09%,2.19%,-2.83%,-4.38%
