Year,Current,2022,2021
Market Capitalization,364,354,254
Market Cap Growth,-,39.63%,-
Enterprise Value,367,354,251
PE Ratio,263.50,273.06,-1022.55
PB Ratio,-52.70,-34.54,-29.52
P/FCF Ratio,-222.91,-126.88,79025.23
P/OCF Ratio,-222.91,-126.88,79025.23
EV/EBITDA Ratio,219.39,167.69,-1012.45
EV/EBIT Ratio,219.39,167.69,-1012.45
EV/FCF Ratio,-224.41,-126.71,78244.97
Debt / Equity Ratio,-0.40,-,-
Debt / EBITDA Ratio,1.65,-,-
Debt / FCF Ratio,-1.70,-,-
Current Ratio,0.16,2.53,3.02
Return on Equity (ROE),-2.70%,-14.50%,-
Return on Assets (ROA),0.10%,0.50%,-
Return on Capital (ROIC),0.60%,0.70%,-
Earnings Yield,0.06%,0.37%,-0.10%
FCF Yield,-0.45%,-0.79%,0.00%
Buyback Yield / Dilution,-202.58%,-,
Total Shareholder Return,-202.58%,-,
