Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,180,292,370,295,395,318,383,200,159,138,116,Upgrade
Market Cap Growth,-,-20.92%,25.24%,-25.36%,24.34%,-17.06%,91.35%,25.72%,15.23%,19.20%,23.05%,Upgrade
Enterprise Value,-312,647,51,339,563,528,766,248,213,154,160,Upgrade
PE Ratio,9.34,16.47,11.83,12.67,11.92,9.44,158.10,19.43,17.16,18.48,18.54,Upgrade
PS Ratio,1.49,2.55,3.33,3.40,4.18,3.28,5.92,5.24,4.28,4.28,4.06,Upgrade
PB Ratio,0.46,0.74,0.90,0.76,1.05,0.91,1.19,1.59,1.33,1.21,1.09,Upgrade
P/FCF Ratio,-18.90,-288.80,-130.65,-80.30,11.09,7.64,16.52,11.21,13.38,13.06,21.45,Upgrade
P/OCF Ratio,-21.31,-,-990.89,-113.81,10.75,7.67,15.59,11.12,13.04,12.04,19.85,Upgrade
EV/Sales Ratio,-2.09,5.65,0.46,3.90,5.95,5.44,11.83,6.49,5.73,4.76,5.60,Upgrade
EV/EBITDA Ratio,-8.18,21.78,1.06,8.89,11.87,10.41,37.91,15.10,14.14,12.60,15.34,Upgrade
EV/EBIT Ratio,-10.93,29.04,1.27,11.32,14.35,12.19,49.17,16.09,15.29,13.71,17.21,Upgrade
EV/FCF Ratio,20.66,-639.26,-18.00,-92.12,15.79,12.69,33.00,13.87,17.92,14.55,29.57,Upgrade
Debt / Equity Ratio,0.27,1.10,0.51,0.61,0.53,0.69,1.26,0.75,0.71,0.47,0.61,Upgrade
Debt / EBITDA Ratio,3.45,14.56,4.40,6.29,4.21,4.71,20.19,5.78,5.59,4.42,6.21,Upgrade
Debt / FCF Ratio,-8.71,-427.40,-74.76,-65.21,5.60,5.74,17.57,5.31,7.08,5.10,11.98,Upgrade
Asset Turnover,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),4.80%,4.50%,7.70%,6.00%,9.10%,10.00%,0.90%,8.30%,7.80%,6.70%,5.90%,Upgrade
Return on Assets (ROA),0.50%,0.50%,0.90%,0.80%,1.20%,1.30%,0.10%,0.90%,0.90%,0.90%,0.90%,Upgrade
Return on Capital (ROIC),0.70%,0.70%,1.40%,0.90%,1.40%,1.50%,0.60%,1.30%,1.40%,1.30%,1.30%,Upgrade
Earnings Yield,10.19%,6.07%,8.45%,7.89%,8.39%,10.60%,0.63%,5.15%,5.83%,5.41%,5.39%,Upgrade
FCF Yield,-6.78%,-0.35%,-0.77%,-1.25%,9.02%,13.08%,6.05%,8.92%,7.47%,7.66%,4.66%,Upgrade
Dividend Yield,5.56%,3.38%,2.66%,3.30%,2.20%,2.42%,2.00%,1.96%,3.98%,5.29%,2.50%,Upgrade
Payout Ratio,39.50%,55.60%,31.20%,41.70%,26.10%,22.90%,246.20%,38.10%,68.40%,95.20%,46.30%,Upgrade
Buyback Yield / Dilution,-0.45%,-0.36%,-0.85%,-0.77%,-0.54%,-0.57%,-95.05%,-0.49%,-0.05%,-5.22%,-0.00%,Upgrade
Total Shareholder Return,5.19%,3.01%,1.81%,2.53%,1.66%,1.85%,-93.05%,1.47%,3.93%,0.07%,2.49%,Upgrade
