Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Market Capitalization,514,"1,407","1,864","1,331","1,633","1,673","1,979","2,050","1,689",925,790,Upgrade
Market Cap Growth,-,-24.53%,40.01%,-18.48%,-2.39%,-15.45%,-3.46%,21.36%,82.66%,17.01%,72.85%,Upgrade
Enterprise Value,"2,590","2,204",579,165,"1,920","1,599","2,407","1,967","1,532",949,603,Upgrade
PE Ratio,4.46,9.98,10.55,10.07,11.43,10.99,19.74,20.98,20.21,17.24,17.02,Upgrade
PS Ratio,1.53,3.97,4.82,4.16,4.85,5.06,6.50,7.48,6.87,4.97,4.94,Upgrade
PB Ratio,0.41,1.15,1.38,1.07,1.37,1.51,2.08,2.43,2.29,1.49,2.01,Upgrade
P/FCF Ratio,2.67,7.30,7.99,10.23,12.58,10.20,12.75,18.74,17.98,17.03,3.12,Upgrade
P/OCF Ratio,2.64,7.22,7.82,10.00,12.31,10.11,12.30,17.55,17.13,15.54,3.06,Upgrade
EV/Sales Ratio,7.71,6.21,1.50,0.52,5.70,4.83,7.91,7.18,6.23,5.10,3.77,Upgrade
EV/EBITDA Ratio,15.75,11.42,2.38,0.91,9.46,7.57,12.50,11.90,10.71,9.97,7.58,Upgrade
EV/EBIT Ratio,16.08,11.62,2.44,0.94,9.76,7.83,12.96,12.36,11.33,11.01,8.01,Upgrade
EV/FCF Ratio,13.44,11.43,2.48,1.27,14.79,9.75,15.51,17.98,16.31,17.48,2.38,Upgrade
Debt / Equity Ratio,1.81,0.90,0.32,0.50,0.44,0.22,0.65,0.34,0.19,0.45,0.30,Upgrade
Debt / EBITDA Ratio,13.67,5.75,1.76,3.44,2.60,1.17,3.21,1.73,0.99,2.94,1.51,Upgrade
Debt / FCF Ratio,11.67,5.75,1.84,4.78,4.07,1.51,3.99,2.61,1.50,5.17,0.47,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),9.70%,11.30%,13.50%,11.00%,12.10%,14.60%,11.00%,12.20%,11.00%,11.30%,12.30%,Upgrade
Return on Assets (ROA),1.10%,1.30%,1.60%,1.30%,1.60%,1.90%,1.40%,1.50%,1.40%,1.30%,1.30%,Upgrade
Return on Capital (ROIC),1.40%,1.70%,2.40%,1.80%,2.20%,2.50%,2.60%,2.50%,2.50%,2.00%,2.20%,Upgrade
Earnings Yield,23.24%,10.02%,9.48%,9.93%,8.75%,9.10%,5.07%,4.77%,4.95%,5.80%,5.88%,Upgrade
FCF Yield,37.50%,13.71%,12.51%,9.78%,7.95%,9.80%,7.84%,5.34%,5.56%,5.87%,32.06%,Upgrade
Dividend Yield,10.76%,3.86%,2.09%,2.13%,0.90%,-,-,-,-,-,7.34%,Upgrade
Payout Ratio,46.70%,38.60%,22.10%,21.50%,10.50%,0.00%,0.00%,0.00%,0.00%,0.00%,124.30%,Upgrade
Buyback Yield / Dilution,3.14%,0.10%,0.88%,4.02%,2.23%,-0.50%,-1.62%,-0.50%,-28.55%,-0.90%,-2.45%,Upgrade
Total Shareholder Return,13.89%,3.96%,2.97%,6.15%,3.13%,-0.50%,-1.62%,-0.50%,-28.55%,-0.90%,4.89%,Upgrade
