Year,Current,2022,2021,2020,2019
Market Capitalization,6,10,71,19,82
Market Cap Growth,-,-85.47%,278.26%,-77.27%,-
Enterprise Value,21,25,75,32,95
PE Ratio,1.59,1.59,-3.34,-5.07,-23.48
PS Ratio,0.37,0.61,7.27,2.56,18.44
PB Ratio,0.70,1.15,-2.71,-296.02,127.78
P/FCF Ratio,-3.14,-3.14,-30.36,-39.82,-87.67
P/OCF Ratio,-3.21,-3.21,-31.31,-39.82,-219.50
EV/Sales Ratio,1.24,1.48,7.76,4.40,21.33
EV/EBITDA Ratio,2.24,2.67,-3.87,-13.62,-34.38
EV/EBIT Ratio,3.22,3.85,-3.57,-8.72,-27.16
EV/FCF Ratio,-7.63,-7.63,-32.43,-68.50,-101.38
Debt / Equity Ratio,1.85,1.85,-0.36,-221.71,20.77
Debt / EBITDA Ratio,1.78,1.78,-0.48,-5.93,-4.83
Debt / FCF Ratio,-5.07,-5.07,-4.06,-29.82,-14.25
Current Ratio,0.42,0.42,0.18,0.21,0.14
Asset Turnover,0.33,0.33,0.36,0.42,0.46
Return on Equity (ROE),36.70%,36.70%,-602.00%,-1271.00%,-2042.50%
Return on Assets (ROA),12.80%,12.80%,-78.40%,-21.00%,-35.90%
Return on Capital (ROIC),60.50%,60.50%,-2271.80%,-37.10%,-60.40%
Earnings Yield,104.14%,63.07%,-29.90%,-19.74%,-4.26%
FCF Yield,-52.52%,-31.81%,-3.29%,-2.51%,-1.14%
Buyback Yield / Dilution,-62.67%,-62.67%,-141.35%,-45.38%,-
Total Shareholder Return,-62.67%,-62.67%,-141.35%,-45.38%,-
