Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,"1,232","1,498","1,906","1,652","2,049","1,715","1,934","1,674",-
Market Cap Growth,-,-21.39%,15.40%,-19.41%,19.53%,-11.33%,15.51%,-,-
Enterprise Value,19,-430,-102,"-1,466",-357,-196,516,-311,"-2,172"
PE Ratio,5.18,7.00,11.72,11.22,11.57,8.79,12.62,28.68,-
PS Ratio,2.09,2.73,3.81,3.34,3.85,3.31,4.25,4.16,-
PB Ratio,1.27,1.73,1.95,1.68,2.13,1.94,2.35,2.36,-
P/FCF Ratio,5.72,7.79,8.09,9.86,9.07,6.16,8.68,9.92,-
P/OCF Ratio,5.06,6.83,7.58,8.78,8.24,5.78,7.99,9.37,-
EV/Sales Ratio,0.03,-0.78,-0.20,-2.97,-0.67,-0.38,1.13,-0.77,-5.96
EV/EBITDA Ratio,0.07,-1.67,-0.43,-6.92,-1.59,-0.81,2.52,-1.84,-16.83
EV/EBIT Ratio,0.08,-1.98,-0.62,-9.80,-2.03,-1.00,3.34,-2.66,-27.49
EV/FCF Ratio,0.09,-2.24,-0.43,-8.75,-1.58,-0.70,2.31,-1.84,-14.10
Debt / Equity Ratio,0.18,0.20,0.18,0.17,0.15,0.16,0.14,0.16,0.16
Debt / EBITDA Ratio,0.63,0.67,0.73,0.81,0.64,0.59,0.57,0.69,0.91
Debt / FCF Ratio,0.83,0.90,0.73,1.02,0.64,0.52,0.52,0.69,0.76
Asset Turnover,0.04,0.04,0.03,0.04,0.04,0.05,0.04,0.04,-
Return on Equity (ROE),27.60%,26.20%,16.90%,14.90%,18.90%,22.80%,19.50%,8.00%,-
Return on Assets (ROA),1.70%,1.50%,1.10%,1.10%,1.40%,1.80%,1.40%,0.50%,-
Return on Capital (ROIC),1.90%,1.70%,1.30%,1.30%,1.70%,2.20%,1.70%,1.40%,-
Earnings Yield,19.47%,14.29%,8.53%,8.91%,8.64%,11.38%,7.93%,3.49%,-
FCF Yield,17.50%,12.84%,12.36%,10.15%,11.02%,16.22%,11.53%,10.08%,-
Dividend Yield,7.12%,5.90%,4.62%,5.65%,4.75%,4.85%,3.53%,0.32%,-
Payout Ratio,37.60%,40.70%,53.70%,60.50%,52.90%,42.80%,45.40%,8.30%,0.00%
Buyback Yield / Dilution,-0.73%,-0.49%,5.65%,4.25%,-1.22%,-2.64%,-0.07%,-,-
Total Shareholder Return,6.63%,5.41%,10.27%,9.90%,3.54%,2.21%,3.46%,0.32%,-
