Year,Current,2022,2021,2020,2019
Market Capitalization,22,26,29,-,-
Market Cap Growth,-,-12.80%,-,-,-
Enterprise Value,27,47,28,5,21
PE Ratio,37.62,23.50,20.73,-,-
PS Ratio,1.77,1.99,2.08,-,-
PB Ratio,0.59,0.68,0.67,-,-
P/FCF Ratio,8.30,10.27,8.29,-,-
P/OCF Ratio,6.94,8.67,8.61,-,-
EV/Sales Ratio,2.20,3.63,2.02,0.33,1.68
EV/EBITDA Ratio,16.57,20.22,10.22,1.68,20.10
EV/EBIT Ratio,42.75,35.86,16.80,2.82,-315.40
EV/FCF Ratio,10.34,18.80,8.07,6.03,32.94
Debt / Equity Ratio,0.32,0.78,0.46,1.05,1.24
Debt / EBITDA Ratio,7.34,12.63,7.25,11.40,32.70
Debt / FCF Ratio,4.58,11.74,5.72,41.01,53.60
Asset Turnover,0.03,0.03,0.04,0.04,-
Return on Equity (ROE),1.40%,2.80%,3.30%,6.00%,-
Return on Assets (ROA),0.10%,0.30%,0.40%,0.50%,-
Return on Capital (ROIC),0.20%,0.30%,0.40%,0.40%,-
Earnings Yield,2.45%,4.26%,4.82%,-,-
FCF Yield,12.05%,9.73%,12.06%,-,-
Buyback Yield / Dilution,4.77%,3.80%,-66.38%,-,-
Total Shareholder Return,4.77%,3.80%,-66.38%,-,-
