Year,Current,2022,2021,2020
Market Capitalization,105,351,341,-
Market Cap Growth,-,2.93%,-,-
Enterprise Value,105,351,341,0
PE Ratio,50.76,49.48,39.52,-
PB Ratio,-21.15,-21.15,-15.92,-
P/FCF Ratio,-231.53,-231.53,-325.57,-
P/OCF Ratio,-231.53,-231.53,-325.57,-
EV/EBITDA Ratio,13.42,44.92,39.50,-1.65
EV/EBIT Ratio,13.42,44.92,39.50,-1.65
EV/FCF Ratio,-231.61,-231.61,-325.40,-6.23
Debt / Equity Ratio,-0.01,-0.01,-,-2.39
Debt / EBITDA Ratio,0.02,0.02,-,-1.83
Debt / FCF Ratio,-0.11,-0.11,-,-6.89
Current Ratio,0.02,0.02,1.34,0.07
Return on Equity (ROE),-49.20%,-49.20%,-96.10%,-
Return on Assets (ROA),3.30%,3.30%,3.10%,-
Return on Capital (ROIC),3.60%,3.60%,3.10%,-
Earnings Yield,6.77%,2.02%,2.53%,-
FCF Yield,-1.45%,-0.43%,-0.31%,-
Buyback Yield / Dilution,1.04%,1.04%,-459.42%,-
Total Shareholder Return,1.04%,1.04%,-459.42%,-
