Year,Current,2021
Market Capitalization,163,501
Enterprise Value,162,500
PE Ratio,61.06,59.12
PB Ratio,-22.73,-14.46
P/FCF Ratio,-240.77,-277.96
P/OCF Ratio,-240.77,-277.96
EV/EBITDA Ratio,16.33,59.06
EV/EBIT Ratio,16.33,59.06
EV/FCF Ratio,-240.57,-277.66
Current Ratio,5.90,20.79
Return on Equity (ROE),-29.90%,-32.20%
Return on Assets (ROA),2.40%,2.00%
Return on Capital (ROIC),2.40%,2.00%
Earnings Yield,6.11%,1.69%
FCF Yield,-1.30%,-0.36%
Buyback Yield / Dilution,-138.20%,-
Total Shareholder Return,-138.20%,-
