Year,Current,2022,2021
Market Capitalization,105,102,-
Enterprise Value,24,21,0
PE Ratio,-463.62,-150.93,-
PB Ratio,-27.65,-30.63,-
P/FCF Ratio,-79.98,-115.32,-
P/OCF Ratio,-79.98,-115.32,-
EV/EBITDA Ratio,-98.21,-31.13,-13.33
EV/EBIT Ratio,-98.21,-31.13,-13.33
EV/FCF Ratio,-16.94,-23.78,-
Debt / Equity Ratio,-0.14,-0.14,3.11
Debt / EBITDA Ratio,-2.38,-0.71,-13.33
Debt / FCF Ratio,-0.41,-0.54,-
Current Ratio,21.19,21.19,1.32
Return on Equity (ROE),7.80%,35.10%,-
Return on Assets (ROA),-0.30%,-1.10%,-
Return on Capital (ROIC),-0.60%,-1.80%,-
Earnings Yield,-0.21%,-0.66%,-
FCF Yield,-1.23%,-0.87%,-
Buyback Yield / Dilution,-431.30%,-4948.13%,-
Total Shareholder Return,-431.30%,-4948.13%,-
