Year,Current,2022,2021
Market Capitalization,300,293,203
Market Cap Growth,-,44.18%,-
Enterprise Value,299,292,201
PE Ratio,103.53,242.69,-1075.11
PB Ratio,-32.20,-36.62,-34.52
P/FCF Ratio,-288.81,-445.51,-251.48
P/OCF Ratio,-288.81,-445.51,-251.48
EV/EBITDA Ratio,74.49,159.94,-1065.95
EV/EBIT Ratio,74.49,159.94,-1065.95
EV/FCF Ratio,-288.33,-443.88,-249.34
Current Ratio,0.39,0.98,6.80
Return on Equity (ROE),-37.10%,-17.20%,-
Return on Assets (ROA),1.20%,0.50%,-
Return on Capital (ROIC),1.70%,0.80%,-
Earnings Yield,0.96%,0.41%,-0.09%
FCF Yield,-0.34%,-0.22%,-0.40%
Buyback Yield / Dilution,-293.70%,-,
Total Shareholder Return,-293.70%,-,
