Year,Current,2022,2021,2020,2019,2018
Market Capitalization,438,470,530,-,-,-
Market Cap Growth,-,-11.47%,-,-,-,-
Enterprise Value,"1,035","1,013",650,152,89,136
PE Ratio,10.46,14.56,11.63,-,-,-
PS Ratio,3.54,4.33,7.43,-,-,-
PB Ratio,0.80,0.82,0.88,-,-,-
P/FCF Ratio,-1.37,-1.31,-8.66,-,-,-
P/OCF Ratio,-1.37,-1.31,-8.66,-,-,-
EV/Sales Ratio,8.05,9.33,9.11,2.64,1.61,6.57
EV/EBITDA Ratio,15.80,21.88,13.49,3.17,3.07,10.93
EV/EBIT Ratio,15.80,21.88,13.49,3.17,3.07,10.93
EV/FCF Ratio,-2.99,-2.81,-10.61,-1.43,-0.66,-0.79
Debt / Equity Ratio,1.02,0.95,0.20,0.36,0.36,0.83
Debt / EBITDA Ratio,8.91,11.86,2.58,3.48,4.65,11.13
Debt / FCF Ratio,-1.63,-1.53,-2.03,-1.57,-1.01,-0.80
Asset Turnover,0.13,0.12,0.11,0.11,0.13,0.10
Return on Equity (ROE),7.20%,5.50%,8.90%,11.50%,9.20%,8.00%
Return on Assets (ROA),4.10%,3.50%,6.90%,9.10%,6.70%,5.40%
Return on Capital (ROIC),4.60%,3.80%,6.10%,7.90%,5.80%,4.80%
Earnings Yield,9.10%,6.87%,8.60%,-,-,-
FCF Yield,-78.98%,-76.62%,-11.54%,-,-,-
Dividend Yield,14.72%,10.99%,1.61%,-,-,-
Payout Ratio,96.10%,159.50%,18.80%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,2.09%,-19.86%,-23.77%,-47.68%,-101.07%,-232.74%
Total Shareholder Return,16.86%,-8.87%,-22.16%,-47.68%,-101.07%,-232.74%
