Year,Current,2022,2021,2020,2019
Market Capitalization,170,190,254,-,-
Market Cap Growth,-,-25.11%,-,-,-
Enterprise Value,96,202,112,-186,-77
PE Ratio,9.27,11.59,14.08,-,-
PS Ratio,2.51,3.17,4.85,-,-
PB Ratio,0.65,0.75,0.95,-,-
P/FCF Ratio,-8.72,-7.90,-2.91,-,-
P/OCF Ratio,-8.72,-8.04,-2.91,-,-
EV/Sales Ratio,1.42,3.37,2.14,-4.53,-1.87
EV/EBITDA Ratio,3.22,8.09,4.27,-8.75,-3.54
EV/EBIT Ratio,3.38,8.57,4.51,-9.12,-3.63
EV/FCF Ratio,-5.70,-8.39,-1.28,-1.75,-5.16
Debt / Equity Ratio,0.29,0.30,0.29,0.05,0.16
Debt / EBITDA Ratio,2.57,3.04,2.93,0.49,1.34
Debt / FCF Ratio,-3.15,-3.16,-0.88,0.10,1.96
Asset Turnover,0.03,0.03,0.03,0.03,-
Return on Equity (ROE),7.60%,6.60%,8.20%,7.80%,-
Return on Assets (ROA),0.80%,0.80%,1.00%,1.00%,-
Return on Capital (ROIC),1.20%,1.10%,1.50%,1.60%,-
Earnings Yield,11.66%,8.63%,7.10%,-,-
FCF Yield,-14.36%,-12.66%,-34.38%,-,-
Dividend Yield,1.37%,1.11%,0.21%,-,-
Payout Ratio,8.10%,13.50%,3.20%,0.00%,0.00%
Buyback Yield / Dilution,1.52%,-26.08%,-2.98%,-,-
Total Shareholder Return,2.88%,-24.97%,-2.77%,-,-
