Year,Current,2022,2021,2020,2008,2007,2006,2005,2004,2003,2002
Market Capitalization,608,479,9,0,15,15,19,13,14,12,-
Market Cap Growth,-,5310.76%,13714.04%,-99.58%,3.33%,-21.74%,43.75%,-3.80%,14.31%,-,-
Enterprise Value,758,446,-1,2,14,11,13,6,5,11,-0
PE Ratio,-6.11,-20.37,-15.59,-0.24,-4.65,-5.30,-8.37,-9.31,-32.21,-12.66,-
PS Ratio,18.22,56.05,-,-,45.34,9.56,4.88,3.97,3.80,10.94,-
PB Ratio,12.24,6.63,-3.43,-0.03,19.39,4.08,2.99,1.56,1.37,10.43,-
P/FCF Ratio,-3.39,-8.58,-2.62,-,-6.59,-5.39,-10.94,-8.98,-21.03,-13.89,-
P/OCF Ratio,15.15,-549.49,-106.69,-,-6.53,-5.42,-11.35,-9.38,-32.15,-13.94,-
EV/Sales Ratio,18.55,52.22,-,-,42.36,7.37,3.29,1.74,1.28,9.98,-0.83
EV/EBITDA Ratio,-7.72,-20.53,2.29,-,-4.35,-4.07,-6.00,-4.57,-14.40,-12.39,0.53
EV/EBIT Ratio,-6.64,-19.52,2.29,-,-4.35,-4.07,-5.71,-4.16,-11.29,-11.61,0.51
EV/FCF Ratio,-3.57,-7.99,0.22,-,-6.15,-4.16,-7.38,-3.93,-7.10,-12.68,0.76
Debt / Equity Ratio,0.60,0.19,-0.83,-0.94,-,-,-,-,-,-,0.17
Debt / EBITDA Ratio,-1.07,-0.62,-6.45,-,-,-,-,-,-,-,-0.12
Debt / FCF Ratio,-0.49,-0.24,-0.63,-,-,-,-,-,-,-,-0.17
Current Ratio,0.23,1.65,4.70,0,2.36,6.39,7.99,10.35,12.95,3.43,1.89
Asset Turnover,0.26,0.12,0,-,0.14,0.28,0.48,0.35,0.52,0.93,-
Return on Equity (ROE),-61.90%,-151.80%,24.70%,-,-182.80%,-59.10%,-30.90%,-15.60%,-6.80%,-112.80%,-
Return on Assets (ROA),-25.60%,-32.70%,-7.50%,-,-134.70%,-50.30%,-27.70%,-14.70%,-6.20%,-80.50%,-
Return on Capital (ROIC),-44.10%,-65.30%,-23.50%,-,-2443.40%,-223.80%,-37.00%,-19.50%,-19.70%,-17000.10%,-
Earnings Yield,-5.50%,-4.91%,-6.41%,-410.26%,-21.51%,-18.86%,-11.94%,-10.74%,-3.10%,-7.90%,-
FCF Yield,-9.92%,-11.66%,-38.22%,-,-15.18%,-18.54%,-9.14%,-11.13%,-4.76%,-7.20%,-
Buyback Yield / Dilution,-76.26%,-3680.20%,0.00%,-8.92%,-1.31%,-0.02%,0.03%,-32.68%,-56.89%,-347.75%,56.27%
Total Shareholder Return,-76.26%,-3680.20%,0.00%,-8.92%,-1.31%,-0.02%,0.03%,-32.68%,-56.89%,-347.75%,56.27%
