Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,459,616,608,251,196,181,-,-
Market Cap Growth,-,1.30%,142.28%,27.90%,8.38%,-,-,-
Enterprise Value,474,636,-146,432,212,198,20,-58
PE Ratio,9.67,15.16,22.52,16.57,14.86,18.66,-,-
PS Ratio,1.92,2.83,6.23,4.38,4.11,4.71,-,-
PB Ratio,1.77,2.53,3.02,1.79,1.58,1.66,-,-
P/FCF Ratio,4.41,9.59,22.31,17.98,15.75,13.66,-,-
P/OCF Ratio,4.34,9.18,20.37,12.98,14.35,12.57,-,-
EV/Sales Ratio,1.98,2.93,-1.49,7.54,4.44,5.16,0.61,-2.02
EV/EBITDA Ratio,7.89,12.13,-4.06,21.06,11.84,14.89,1.78,-7.00
EV/EBIT Ratio,8.14,12.57,-4.24,22.55,12.72,16.20,1.96,-7.84
EV/FCF Ratio,4.56,9.90,-5.35,30.91,17.01,14.96,3.01,-9.42
Debt / Equity Ratio,0.20,0.22,0.29,1.42,0.26,0.31,0.51,0.48
Debt / EBITDA Ratio,0.88,1.01,1.65,9.74,1.80,2.52,3.03,3.41
Debt / FCF Ratio,0.51,0.82,2.17,14.30,2.59,2.53,5.11,4.59
Asset Turnover,0.08,0.07,0.04,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),19.70%,18.10%,16.30%,11.40%,11.20%,11.10%,8.70%,-
Return on Assets (ROA),1.50%,1.30%,1.20%,0.90%,1.20%,1.10%,0.70%,-
Return on Capital (ROIC),1.80%,1.70%,1.60%,1.10%,1.50%,1.40%,1.30%,-
Earnings Yield,10.20%,6.60%,4.44%,6.04%,6.73%,5.36%,-,-
FCF Yield,22.66%,10.43%,4.48%,5.56%,6.35%,7.32%,-,-
Buyback Yield / Dilution,-1.00%,-7.93%,-2.56%,-0.11%,-14.96%,-14.84%,-0.16%,-
Total Shareholder Return,-1.00%,-7.93%,-2.56%,-0.11%,-14.96%,-14.84%,-0.16%,-
