Year,Current,2022,2021,2020
Market Capitalization,"2,342","2,247",-,-
Enterprise Value,"2,296","2,401",-542,-286
PE Ratio,-,4.67,-,-
PS Ratio,-,0.96,-,-
PB Ratio,0.93,0.93,-,-
P/FCF Ratio,-,0.72,-,-
P/OCF Ratio,-,0.71,-,-
EV/Sales Ratio,-,1.03,-0.14,-
EV/EBITDA Ratio,-,2.51,-0.34,-
EV/EBIT Ratio,-,3.83,-0.49,-
EV/FCF Ratio,-,0.76,-0.29,-1.08
Debt / Equity Ratio,0.63,0.46,0.22,0.15
Debt / EBITDA Ratio,-,1.17,0.62,-
Debt / FCF Ratio,-,0.35,0.54,2.28
Asset Turnover,-,0.05,0.09,-
Return on Equity (ROE),-,14.00%,20.20%,-
Return on Assets (ROA),-,0.90%,2.00%,-
Return on Capital (ROIC),-,1.30%,2.80%,-
Earnings Yield,21.41%,-,-,
FCF Yield,139.72%,-,-,
Dividend Yield,1.08%,-,-,-
Buyback Yield / Dilution,-19.05%,-9.52%,-,-
Total Shareholder Return,-17.95%,-9.52%,-,-
