Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,375,684,790,634,642,518,626,621,-,-
Market Cap Growth,-,-13.44%,24.67%,-1.33%,24.02%,-17.26%,0.74%,-,-,-
Enterprise Value,750,"1,021",685,611,819,966,835,846,209,277
PE Ratio,8.83,15.00,13.50,14.15,35.15,45.44,60.30,104.74,-,-
PS Ratio,1.97,3.41,3.30,2.83,3.91,3.86,4.95,5.01,-,-
PB Ratio,0.62,1.11,1.16,0.91,0.96,1.45,1.82,1.89,-,-
P/FCF Ratio,6.11,10.26,3.63,-19.38,-15.83,9.31,15.38,-96.27,-,-
P/OCF Ratio,5.86,9.92,3.52,-23.51,-17.77,8.47,14.26,-143.97,-,-
EV/Sales Ratio,3.95,5.09,2.86,2.73,4.98,7.19,6.61,6.83,2.42,4.75
EV/EBITDA Ratio,12.70,15.34,7.96,9.59,27.83,53.21,41.70,71.29,18.81,41.70
EV/EBIT Ratio,13.81,16.53,8.52,10.53,36.10,67.99,48.99,91.69,25.09,70.57
EV/FCF Ratio,12.23,15.32,3.14,-18.68,-20.18,17.37,20.53,-131.12,7.50,15.88
Debt / Equity Ratio,1.04,0.70,0.13,0.26,0.58,1.55,0.85,0.84,1.31,1.80
Debt / EBITDA Ratio,10.58,6.54,1.04,2.88,13.19,30.50,14.50,23.18,22.47,49.68
Debt / FCF Ratio,10.19,6.53,0.41,-5.60,-9.57,9.96,7.14,-42.63,8.96,18.93
Asset Turnover,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.04,-
Return on Equity (ROE),6.60%,7.30%,8.50%,6.50%,3.50%,3.20%,3.10%,2.00%,3.10%,-
Return on Assets (ROA),0.80%,0.90%,1.30%,1.00%,0.50%,0.40%,0.40%,0.30%,0.30%,-
Return on Capital (ROIC),1.00%,1.20%,1.90%,1.30%,0.60%,0.40%,0.60%,0.40%,0.40%,-
Earnings Yield,10.84%,6.67%,7.41%,7.07%,2.84%,2.20%,1.66%,0.95%,-,-
FCF Yield,16.36%,9.75%,27.58%,-5.16%,-6.32%,10.74%,6.50%,-1.04%,-,-
Dividend Yield,3.67%,1.79%,0.98%,0.77%,-,-,-,-,-,-
Payout Ratio,23.90%,26.50%,13.00%,11.00%,0.00%,0.00%,0.00%,-,-,-
Buyback Yield / Dilution,7.00%,8.55%,5.15%,2.53%,1.69%,-1.11%,2.76%,-,-,-
Total Shareholder Return,10.66%,10.34%,6.13%,3.31%,1.69%,-1.11%,2.76%,-,-,-
