Year,Current,2022
Market Capitalization,276,267
Enterprise Value,281,271
PE Ratio,55.47,126.45
PB Ratio,-22.90,-22.91
P/FCF Ratio,-207.39,-219.72
P/OCF Ratio,-207.39,-219.72
EV/EBITDA Ratio,67.63,128.68
EV/EBIT Ratio,67.63,128.68
EV/FCF Ratio,-211.08,-223.61
Debt / Equity Ratio,-0.44,-0.45
Debt / EBITDA Ratio,1.26,2.48
Debt / FCF Ratio,-3.98,-4.32
Current Ratio,0.15,0.17
Return on Equity (ROE),-36.50%,-25.10%
Return on Assets (ROA),1.90%,1.30%
Return on Capital (ROIC),1.90%,1.30%
Earnings Yield,1.50%,0.79%
FCF Yield,-0.48%,-0.46%
Buyback Yield / Dilution,-424.00%,-
Total Shareholder Return,-424.00%,-
