Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,"2,562","1,799","1,798","1,791","1,042",862,848,556,508
Market Cap Growth,-,0.06%,0.40%,71.88%,20.80%,1.72%,52.53%,9.38%,-
Enterprise Value,"2,570","1,761","1,755","1,664","1,030",786,702,404,425
PE Ratio,19.98,19.87,16.93,15.24,35.24,31.74,-26.05,-183.24,67.09
PS Ratio,2.59,1.75,1.81,1.70,1.45,1.49,1.70,1.11,1.25
PB Ratio,15.90,9.72,14.95,11.61,33.19,-32.60,-5.39,-64.95,15.84
P/FCF Ratio,9.85,7.52,15.28,3.89,5.15,7.45,7.70,5.36,6.51
P/OCF Ratio,9.67,7.41,14.48,3.81,4.93,7.02,7.62,4.76,4.53
EV/Sales Ratio,2.62,1.72,1.77,1.58,1.44,1.36,1.41,0.81,1.05
EV/EBITDA Ratio,17.13,10.78,10.29,8.78,12.76,21.78,50.28,19.80,18.83
EV/EBIT Ratio,22.47,13.84,12.93,10.87,21.48,30.10,120.55,63.46,54.40
EV/FCF Ratio,9.99,7.36,14.91,3.61,5.09,6.79,6.38,3.89,5.45
Debt / Equity Ratio,0.82,0.73,1.31,1.12,6.51,-1.13,-,-,-
Debt / EBITDA Ratio,0.87,0.83,0.92,0.91,2.53,0.83,-,-,-
Debt / FCF Ratio,0.51,0.57,1.33,0.37,1.01,0.26,-,-,-
Asset Turnover,0.97,1.01,0.98,1.00,0.85,1.01,0.92,0.93,1.00
Return on Equity (ROE),53.60%,62.00%,84.30%,91.30%,-171.20%,-21.70%,25.70%,-22.40%,4.20%
Return on Assets (ROA),8.10%,8.90%,10.50%,11.20%,3.50%,4.70%,-6.00%,-0.60%,1.90%
Return on Capital (ROIC),14.10%,15.40%,17.00%,17.90%,6.80%,7.40%,1.60%,2.00%,3.10%
Earnings Yield,3.24%,5.03%,5.90%,6.56%,2.84%,3.15%,-3.84%,-0.55%,1.49%
FCF Yield,10.15%,13.30%,6.55%,25.72%,19.43%,13.42%,12.99%,18.66%,15.36%
Dividend Yield,1.56%,1.48%,7.54%,0.48%,0.48%,0.56%,0.44%,0.66%,-
Payout Ratio,30.60%,27.70%,75.30%,4.20%,16.30%,16.30%,-11.60%,-117.60%,0.00%
Buyback Yield / Dilution,-1.38%,37.16%,1.78%,-72.41%,-3.14%,-28.61%,-3.09%,-0.19%,-0.04%
Total Shareholder Return,0.19%,38.64%,9.32%,-71.93%,-2.66%,-28.05%,-2.65%,0.47%,-0.04%
