Year,Current,2022,2021,2020
Market Capitalization,133,140,-,-
Enterprise Value,163,181,23,-32
PE Ratio,21.67,24.95,-,-
PS Ratio,4.08,4.03,-,-
PB Ratio,0.94,1.01,-,-
P/FCF Ratio,-3669.46,-62.05,-,-
P/OCF Ratio,30.12,59.59,-,-
EV/Sales Ratio,5.00,5.23,1.28,-2.41
EV/EBITDA Ratio,38.58,22.87,38.97,-6.15
EV/EBIT Ratio,52.83,26.59,226.00,-6.55
EV/FCF Ratio,-4704.42,-80.55,4.87,-10.49
Debt / Equity Ratio,0.58,0.52,0.41,0.03
Debt / EBITDA Ratio,19.37,9.04,77.91,0.29
Debt / FCF Ratio,-2818.93,-31.83,9.73,0.49
Asset Turnover,0.03,0.03,0.03,-
Return on Equity (ROE),1.90%,4.60%,0.40%,-
Return on Assets (ROA),0.20%,0.50%,0.00%,-
Return on Capital (ROIC),0.30%,0.60%,0.00%,-
Earnings Yield,1.90%,4.01%,-,-
FCF Yield,-0.02%,-1.61%,-,-
Dividend Yield,2.88%,-,-,-
Buyback Yield / Dilution,-53.98%,-56.00%,-27.39%,-
Total Shareholder Return,-51.10%,-56.00%,-27.39%,-
