Year,Current,2021,2020,2019
Market Capitalization,279,832,-,-
Enterprise Value,257,688,-98,-5
PE Ratio,-0.42,10.45,-,-
PS Ratio,10.09,3.94,-,-
PB Ratio,1.94,2.14,-,-
P/FCF Ratio,-2.59,-5.79,-,-
P/OCF Ratio,4.35,12.15,-,-
EV/Sales Ratio,9.50,3.26,-1.11,-0.18
EV/EBITDA Ratio,-0.60,4.50,-2.70,-0.92
EV/EBIT Ratio,-0.37,8.01,-3.83,13.09
EV/FCF Ratio,-2.24,-4.79,2.35,4.87
Debt / Equity Ratio,0.26,0.12,0.36,0.24
Debt / EBITDA Ratio,-0.22,0.32,1.29,0.86
Debt / FCF Ratio,-0.81,-0.34,-1.12,-4.56
Current Ratio,2.86,7.66,10.91,2.53
Asset Turnover,0.09,0.56,0.85,-
Return on Equity (ROE),-110.10%,24.90%,32.40%,-
Return on Assets (ROA),-90.50%,21.20%,23.30%,-
Return on Capital (ROIC),-93.10%,27.40%,34.30%,-
Earnings Yield,-102.66%,9.57%,-,-
FCF Yield,-16.76%,-17.26%,-,-
Buyback Yield / Dilution,-0.35%,-15.72%,-12.10%,-
Total Shareholder Return,-0.35%,-15.72%,-12.10%,-
