Year,Current,2022,2021,2020
Market Capitalization,105,404,396,-
Market Cap Growth,-,2.16%,-,-
Enterprise Value,105,404,395,-8
PE Ratio,113.33,107.40,-89.86,-
PB Ratio,-436.19,-436.19,-35.07,-
P/FCF Ratio,-527.54,-527.54,-451.81,-
P/OCF Ratio,-527.54,-527.54,-451.81,-
EV/EBITDA Ratio,28.03,107.43,-89.72,1527.55
EV/EBIT Ratio,28.03,107.43,-89.72,1527.55
EV/FCF Ratio,-527.72,-527.72,-451.09,-
Debt / Equity Ratio,-0.17,-0.17,-,0.00
Debt / EBITDA Ratio,0.04,0.04,-,-2.00
Debt / FCF Ratio,-0.20,-0.20,-,-
Current Ratio,0.02,0.02,1.13,23.76
Return on Equity (ROE),-41.50%,-41.50%,143.70%,-
Return on Assets (ROA),1.20%,1.20%,-1.40%,-
Return on Capital (ROIC),1.20%,1.20%,-1.40%,-
Earnings Yield,3.57%,0.93%,-1.11%,-
FCF Yield,-0.73%,-0.19%,-0.22%,-
Buyback Yield / Dilution,-2.52%,-2.52%,-428.36%,-
Total Shareholder Return,-2.52%,-2.52%,-428.36%,-
