Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"13,202","13,849","14,653","12,375","15,613","14,302","16,842","15,780","13,607","15,722","18,677",Upgrade
Market Cap Growth,-,-5.48%,18.41%,-20.74%,9.16%,-15.08%,6.73%,15.97%,-13.45%,-15.82%,16.44%,Upgrade
Enterprise Value,"21,643","22,336","23,111","22,006","26,810","25,273","27,903","26,231","23,727","26,026","28,727",Upgrade
PE Ratio,13.14,13.69,9.29,-13.29,16.75,22.49,14.47,24.13,52.33,26.60,31.39,Upgrade
PS Ratio,0.91,0.99,1.00,0.98,1.05,1.02,1.23,1.20,1.01,1.10,1.28,Upgrade
PB Ratio,0.91,0.97,0.82,0.69,0.82,0.77,0.88,0.87,0.78,0.82,0.96,Upgrade
P/FCF Ratio,4.53,5.22,6.84,11.96,22.30,4.43,10.80,19.65,6.83,66.34,52.02,Upgrade
P/OCF Ratio,3.65,4.18,5.59,7.09,8.97,3.39,6.50,7.00,3.84,5.26,8.91,Upgrade
EV/Sales Ratio,1.50,1.59,1.58,1.75,1.80,1.80,2.03,2.00,1.77,1.82,1.97,Upgrade
EV/EBITDA Ratio,9.68,10.26,7.71,151.76,9.88,11.23,9.78,11.65,14.02,10.64,11.28,Upgrade
EV/EBIT Ratio,12.53,13.39,9.32,-37.36,15.14,18.89,14.09,18.60,32.19,16.83,17.14,Upgrade
EV/FCF Ratio,7.43,8.42,10.79,21.26,38.30,7.83,17.90,32.67,11.91,109.81,80.02,Upgrade
Debt / Equity Ratio,0.63,0.63,0.51,0.57,0.60,0.61,0.60,0.59,0.60,0.55,0.53,Upgrade
Debt / EBITDA Ratio,4.05,4.14,3.03,69.72,4.25,5.06,4.04,4.79,6.24,4.36,4.06,Upgrade
Debt / FCF Ratio,3.11,3.40,4.24,9.77,16.48,3.53,7.40,13.42,5.30,45.01,28.81,Upgrade
Asset Turnover,0.19,0.18,0.18,0.16,0.18,0.18,0.17,0.17,0.17,0.18,0.18,Upgrade
Return on Equity (ROE),7.20%,6.70%,8.90%,-5.40%,4.80%,3.40%,6.20%,3.60%,1.40%,3.00%,3.10%,Upgrade
Return on Assets (ROA),1.40%,1.30%,1.90%,-1.20%,1.10%,0.80%,1.50%,0.80%,0.30%,0.70%,0.70%,Upgrade
Return on Capital (ROIC),2.10%,2.00%,2.80%,-0.70%,1.90%,1.50%,2.20%,1.60%,0.80%,1.70%,1.90%,Upgrade
Earnings Yield,7.96%,7.31%,10.77%,-7.52%,5.97%,4.45%,6.91%,4.14%,1.91%,3.76%,3.19%,Upgrade
FCF Yield,22.10%,19.16%,14.61%,8.36%,4.48%,22.56%,9.26%,5.09%,14.64%,1.51%,1.92%,Upgrade
Dividend Yield,0.43%,0.44%,0.44%,0.57%,0.49%,0.56%,0.50%,0.54%,0.67%,0.61%,0.65%,Upgrade
Payout Ratio,5.70%,6.00%,4.10%,-7.50%,8.10%,12.60%,7.30%,13.00%,34.90%,16.20%,20.40%,Upgrade
Buyback Yield / Dilution,5.98%,6.50%,7.18%,7.59%,5.18%,5.21%,0.24%,6.72%,5.19%,1.79%,1.61%,Upgrade
Total Shareholder Return,6.41%,6.94%,7.62%,8.16%,5.67%,5.77%,0.74%,7.26%,5.86%,2.40%,2.26%,Upgrade
