Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,79,135,123,99,143,113,149,124,85,74,64,Upgrade
Market Cap Growth,-,10.05%,23.81%,-30.72%,26.31%,-24.21%,20.43%,45.69%,14.40%,17.00%,16.02%,Upgrade
Enterprise Value,155,208,-31,15,103,159,233,117,99,109,89,Upgrade
PE Ratio,7.39,14.81,14.53,18.37,18.18,23.00,-5148.47,32.65,23.42,18.07,20.10,Upgrade
PS Ratio,1.32,2.40,2.32,2.05,3.00,2.59,3.82,3.20,2.19,1.93,1.74,Upgrade
PB Ratio,0.76,1.37,1.01,0.85,1.30,1.11,1.55,1.32,0.91,0.84,0.79,Upgrade
P/FCF Ratio,4.78,7.84,5.65,-13.46,13.50,9.69,16.93,15.97,14.00,11.94,-26.87,Upgrade
P/OCF Ratio,4.70,7.68,5.29,-11.47,11.55,9.31,15.82,14.33,10.86,7.41,7.46,Upgrade
EV/Sales Ratio,2.63,3.69,-0.58,0.31,2.17,3.64,5.97,3.01,2.55,2.83,2.43,Upgrade
EV/EBITDA Ratio,10.78,15.97,-2.54,1.79,9.01,20.77,89.10,17.48,15.90,16.53,16.26,Upgrade
EV/EBIT Ratio,13.00,19.62,-3.17,2.55,11.57,30.64,-1849.89,29.52,26.86,25.25,25.30,Upgrade
EV/FCF Ratio,9.55,12.07,-1.42,-2.05,9.77,13.64,26.43,15.05,16.30,17.48,-37.55,Upgrade
Debt / Equity Ratio,1.04,0.93,0.28,0.31,0.46,0.87,1.02,0.20,0.55,0.77,0.70,Upgrade
Debt / EBITDA Ratio,7.40,7.07,2.83,4.33,4.39,11.52,37.54,2.80,8.18,10.29,10.36,Upgrade
Debt / FCF Ratio,6.56,5.35,1.59,-4.96,4.76,7.56,11.13,2.41,8.38,10.89,-23.92,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),10.30%,9.10%,7.00%,4.70%,7.30%,5.00%,0.00%,4.00%,4.00%,4.80%,3.80%,Upgrade
Return on Assets (ROA),0.80%,0.70%,0.70%,0.50%,0.80%,0.50%,0.00%,0.40%,0.40%,0.50%,0.40%,Upgrade
Return on Capital (ROIC),0.90%,0.80%,0.90%,0.50%,0.90%,0.50%,0.00%,0.40%,0.40%,0.50%,0.40%,Upgrade
Earnings Yield,13.08%,6.75%,6.88%,5.44%,5.50%,4.35%,-0.02%,3.06%,4.27%,5.53%,4.98%,Upgrade
FCF Yield,20.91%,12.75%,17.69%,-7.43%,7.41%,10.32%,5.91%,6.26%,7.14%,8.37%,-3.72%,Upgrade
Dividend Yield,3.45%,1.95%,2.14%,2.53%,1.75%,2.00%,1.47%,1.60%,1.98%,1.73%,1.72%,Upgrade
Payout Ratio,26.10%,28.90%,31.10%,46.60%,31.80%,45.80%,-4400.00%,51.90%,46.60%,31.30%,34.40%,Upgrade
Buyback Yield / Dilution,3.59%,3.19%,-0.42%,-0.38%,-1.08%,-3.01%,-0.61%,-0.04%,-,-,-0.00%,Upgrade
Total Shareholder Return,7.13%,5.15%,1.72%,2.15%,0.67%,-1.01%,0.86%,1.56%,1.98%,1.73%,1.72%,Upgrade
